Date,28,2,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle_order,Mitsubishi(SpaceStar),Ford(S-Max),Peugeot(3008GTLine),KIA(Niro),Mini(Cooper),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_vehicles,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,0
Distance_setting,min
Time,Speed1,Lat1,Lon1,Alt1,E1,N1,U1,VE1,VN1,VU1,Speed2,Lat2,Lon2,Alt2,E2,N2,U2,VE2,VN2,VU2,Speed3,Lat3,Lon3,Alt3,E3,N3,U3,VE3,VN3,VU3,Speed4,Lat4,Lon4,Alt4,E4,N4,U4,VE4,VN4,VU4,Speed5,Lat5,Lon5,Alt5,E5,N5,U5,VE5,VN5,VU5,IVS1,IVS2,IVS3,IVS4,Driver1,Driver2,Driver3,Driver4,Driver5
380243.8,32.64463778392201,0.7975948592739419,0.15042825548458658,289.73672812282143,4231.521131629508,3332.96617188815,-5.737227906075826,-32.311808625133764,4.579046993714612,-0.8072967518536173,31.918906072314623,0.7975942278148241,0.1504368669084079,293.0899434843513,4269.9549466463495,3328.972691807581,-2.407491856694618,-31.603457971354622,4.4708957995416565,0.22158487246697345,32.83905847339332,0.7975927365533856,0.15044774371191344,286.85720121977687,4318.495534746984,3319.5058222665816,-8.66791830416996,-32.506412684850375,4.192087961890885,-2.0404152275736087,31.60061301161021,0.7975921682483679,0.15045804653993022,296.2586482726266,4364.48134660483,3315.923491769697,0.7041518269602949,-31.300182372039274,4.3455443264511455,-0.11649331945835745,31.595634875803427,0.7975916911152764,0.15046279592055914,295.81140999963316,4385.677555569181,3312.8995205375513,0.2439732640577329,-31.333750151896574,4.0573432568862255,-0.13494561648159434,34.94573006430759,44.70913433468529,41.71813397285808,17.337830821649273,Human,Human,Human,Human,Human
380243.9,32.67035270802649,0.7975949321005353,0.15042752996130615,289.67558064470217,4228.28310023104,3333.427737304426,-5.796473343469706,-32.341535745046656,4.551438033996365,-0.8132794977219181,31.970264773355588,0.7975942973175749,0.15043615730956394,293.06700000212226,4266.788011777925,3329.413138389327,-2.42854995624194,-31.65499999504533,4.472999999251243,0.22599999743366184,32.900805364068844,0.7975928068063936,0.15044701500284255,286.8240000032929,4315.243304037028,3319.950957443289,-8.699154266950039,-32.562999994435295,4.219999997392561,-2.0749999972903357,31.630850301320358,0.7975922370206122,0.15045734310600173,296.2346239717998,4361.341910326217,3316.359257096441,0.6820443261516431,-31.32941720221623,4.354275491890778,-0.1363579654271175,31.66616371809625,0.7975917578635134,0.1504620859209315,295.78100000289317,4382.508821276376,3313.322361459917,0.21551751684380446,-31.399999994445892,4.094999996343785,-0.13000000006838494,35.01863090285544,44.62451970731758,41.831315423328206,17.310658580306175,Human,Human,Human,Human,Human
380244.0,32.695707146913016,0.7975950041759214,0.15042680409010414,289.61700000575394,4225.043521680672,3333.8845206565334,-5.853150084607477,-32.37099999708366,4.520000003365338,-0.8349999970577006,32.01730370344153,0.7975943673432669,0.15043544675332488,293.0459798615606,4263.6168039561735,3329.856914988805,-2.4476852029201583,-31.70037425381541,4.485815369010141,0.2673370187613439,32.956778460778715,0.7975928776155574,0.1504462850594883,286.7922943810154,4311.985564341151,3320.3996331376825,-8.728894453116018,-32.61541520481603,4.242841509672674,-2.093378478465143,31.66173041377789,0.7975923058968983,0.15045663874833562,296.2090000027591,4358.198350730964,3316.795682874594,0.6583380507491436,-31.35999999673945,4.357999999962834,-0.15299999860621827,31.71012199546641,0.7975918251032642,0.1504613773507664,295.75489675602427,4379.346467257708,3313.7483408919993,0.1913609147224548,-31.440084528057607,4.127385793819872,-0.13269643902172376,35.087982259236476,44.53865441890554,41.94610219833524,17.293542204756356,Human,Human,Human,Human,Human
380244.1,32.71935274453569,0.7975950752866975,0.15042607798222393,289.562523657412,4221.802894340936,3334.3351640416595,-5.905720299103397,-32.39864819625701,4.486313897185352,-0.8698429125131529,32.061793252357155,0.7975944377935212,0.15043473524202675,293.02018219118617,4260.441329580458,3330.3033915948645,-2.471598152812569,-31.742210462154002,4.5050636779567785,0.30832254340380233,33.00676281259736,0.7975929488616089,0.15044555396133874,286.76121438095015,4308.7226703197575,3320.851089592399,-8.758008684008903,-32.66328343101602,4.260774782558375,-2.098119425697481,31.69462751305716,0.7975923749051059,0.15045593341209146,296.18014352952116,4355.050421848558,3317.232945639533,0.6314002356299027,-31.39358004618607,4.354985289996615,-0.16324276112675806,31.73442392180209,0.7975918926402735,0.15046067014435713,295.73372877082284,4376.190201587844,3314.176221845891,0.17213281610285056,-31.46137459476368,4.15162049179833,-0.14006265984908134,35.15321574823537,44.45190520672766,42.0618231761672,17.286631264986013,Human,Human,Human,Human,Human
380244.2,32.7424312948738,0.7975951457046505,0.15042535153381928,289.5101152649309,4218.560752282736,3334.7813969516333,-5.956220924820671,-32.42514863448741,4.454506994044985,-0.9131870404986902,32.10674073611626,0.7975945085024143,0.15043402277188947,292.9830000046179,4257.261568124158,3330.751508067854,-2.5068952342006114,-31.7849999954142,4.523999998306369,0.30000000505009417,33.0509587011203,0.7975930204019855,0.15044482181249202,286.72983370949197,4305.455086520186,3321.304418748747,-8.7874230986737,-32.70642599228762,4.274705148309933,-2.093433965804788,31.728990559694704,0.7975924439890947,0.15045522714179918,296.14784110764333,4351.898322503261,3317.670687891704,0.6010174821812921,-31.429377533965397,4.346844205043297,-0.1673774827997327,31.753821783491865,0.7975919603217064,0.1504599636005612,295.7180000013156,4373.036896397352,3314.6050290576727,0.1583398349022654,-31.47899999786541,4.165999999089888,-0.14899999910974765,35.215064908802965,44.364718911369344,42.17817112258968,17.286718405508214,Human,Human,Human,Human,Human
380244.3,32.76667454999228,0.7975952158228667,0.15042462458727165,289.45684504674716,4215.316388503991,3335.2257207271764,-6.007582591957848,-32.45172497309237,4.42934314353355,-0.9599097107110414,32.15346567255631,0.7975945792842302,0.15043330935820598,292.9325695480548,4254.077587412658,3331.2000807611475,-2.5554396345933483,-31.83093366156179,4.53738478169334,0.22171227383012554,33.089575098774574,0.7975930920941248,0.15044408871704593,286.6972260730361,4302.1832774897775,3321.7587125480345,-8.818063836155417,-32.74466420788322,4.285537939187615,-2.083533225604503,31.763790039815184,0.7975925130717175,0.15045452000683107,296.1122341406761,4348.742362718066,3318.108418622785,0.5673312335266858,-31.46600536650928,4.336025939340093,-0.1665623656210506,31.779710656894807,0.7975920279975318,0.15045925716036282,295.7076407525216,4369.884057661328,3315.0338052669517,0.1499144907325606,-31.50456512429553,4.1698955404147915,-0.1560671233918212,35.27468460192298,44.277431658049146,42.294959948547614,17.291093998151016,Human,Human,Human,Human,Human
380244.4,32.79377493889635,0.7975952860344316,0.15042389698496256,289.39978322129747,4212.069096002623,3335.6706367090133,-6.062735930713475,-32.47960087338943,4.4155861952403495,-1.0048882528469352,32.195990445246466,0.7975946498740836,0.15043259509256193,292.8860000038485,4250.889808679521,3331.6474320000725,-2.6001215725792592,-31.87299999618503,4.54599999927954,0.16600000042699795,33.122819951059626,0.7975931637954642,0.1504433547790986,286.6624651779775,4298.907707775873,3322.2130629315693,-8.850857035499057,-32.777819397055204,4.29417848745169,-2.0726283319140646,31.79799521340185,0.7975925820758288,0.15045381207655958,296.0734640321703,4345.582852515965,3318.5456468244524,0.5304829327894577,-31.50207645024952,4.324979687124221,-0.1619556115866201,31.810069808585595,0.7975920955289337,0.15045855083325296,295.7002867327247,4366.731726733783,3315.46166522743,0.14449292527818716,-31.535572691178174,4.166979605453334,-0.15645201897737546,35.33362934913645,44.189937237864335,42.41200337909043,17.29954835465024,Human,Human,Human,Human,Human
380244.5,32.8253967648083,0.7975953567324304,0.1504231685692734,289.3360000070183,4208.818167776554,3336.1186462378664,-6.124611571286103,-32.50999999669605,4.417999998754691,-1.0429999966031,32.229200172347554,0.7975947201137352,0.15043188002271973,292.85866301266253,4247.6984559766615,3332.0925622366335,-2.6255690329541235,-31.905410125195488,4.551795899960298,0.21749155713616075,33.150896122625824,0.7975932353634413,0.15044262010274792,286.6246247307109,4295.62884192581,3322.666561840661,-8.886728835749619,-32.80571287905592,4.301532125362429,-2.0649304115509093,31.830571327583137,0.7975926509242819,0.15045310342035714,296.0316721856767,4342.420101919948,3318.981881488384,0.4906140230929821,-31.536203691617946,4.316154642632898,-0.15471542269234975,31.83952928077618,0.7975921627799,0.15045784477084964,295.6930000008482,4363.58057881364,3315.887741696341,0.13913718556530333,-31.565999997101873,4.162000000456294,-0.1450000019666624,35.393184441188716,44.10245320682314,42.52911489181337,17.312497034700492,Human,Human,Human,Human,Human
380244.6,32.86212986090519,0.7975954281921567,0.15042243926091514,289.26348659679854,4205.563247487512,3336.571501216177,-6.195219007178682,-32.543328786578506,4.439416533379855,-1.0690703095684089,32.26126543901293,0.7975947903506979,0.15043116394485662,292.8400070984113,4244.502611220838,3332.5376784587543,-2.642334048107261,-31.93646781535945,4.5553743217699925,0.3159683425897657,33.174002947155536,0.7975933066554937,0.15044188479209195,286.5827784376316,4292.347144486928,3323.118301216618,-8.926605375952118,-32.82816597313776,4.308504185180095,-2.0646505913324757,31.860479419096762,0.7975927195399309,0.150452394107596,295.98700000474605,4339.254420953011,3319.416631606253,0.4478659475606328,-31.566999997046352,4.312000000103342,-0.1460000009341479,31.863662187337326,0.7975922296885922,0.1504571391152795,295.68416987026137,4360.431247319802,3316.311640466265,0.13223635693885216,-31.59087717984548,4.158735745665242,-0.11984988274757892,35.452742897829594,44.016937063713705,42.64610769088242,17.33024613110479,Human,Human,Human,Human,Human
380244.7,32.90029731775975,0.797595500217733,0.15042170929391702,289.1839180824755,4202.305381452892,3337.027955792342,-6.2728831839729216,-32.576724814587706,4.474940294886571,-1.0777167108360648,32.30312612834643,0.797594861058923,0.1504304465922535,292.813000003819,4241.301070794912,3332.9857892885834,-2.667449664329547,-31.97799999474578,4.556999999923582,0.3650000008117157,33.192343347370894,0.7975933775290588,0.15044114895122854,286.5360000051342,4289.063080006575,3323.567373000747,-8.971412795151556,-32.8449999985531,4.315999999164962,-2.0759999980762043,31.88716158874892,0.7975927878872171,0.15045168418367375,295.93964182729843,4336.086012500218,3319.849670972721,0.4024330185033185,-31.593650519117908,4.314348916987774,-0.1368008966040322,31.88176571129273,0.7975922964898692,0.15045643397070474,295.6774946737591,4357.284198550996,3316.7348594717505,0.12748767965957494,-31.60944573525077,4.15709071608719,-0.09231445293044964,35.509628518881094,43.93578395771754,42.76266704006875,17.35280552814669,Human,Human,Human,Human,Human
