Variables,Statistics,OpenACC_Casale,OpenACC_Vicolungo
Speed_LV,mean,32.60142783345496,29.02207501657037
Speed_LV,std,5.7069068715039,5.627122353405619
Speed_LV,min,0.1337555562091497,7.519113668273031
Speed_LV,max,40.10351666649833,40.77298721998807
Acc_LV,mean,-0.0034273225148604,0.0084082084396224
Acc_LV,std,0.5903699874330697,0.564701266803555
Acc_LV,min,-4.979822161096763,-4.831545320980943
Acc_LV,max,4.918089329010513,4.924340334799548
Speed_FAV,mean,32.5968609697359,28.9956078506291
Speed_FAV,std,5.935567849862452,5.785804957029211
Speed_FAV,min,0.1329999985114568,7.2667500987437155
Speed_FAV,max,41.20799999913714,40.79631820072822
Acc_FAV,mean,-0.0028416632913618,0.0060795382992358
Acc_FAV,std,0.6234998847480355,0.5908831279460399
Acc_FAV,min,-4.84999996360763,-4.569607389313433
Acc_FAV,max,4.8799998833154135,4.830438464927589
Spatial_Gap,mean,42.7271988384567,40.80444744703037
Spatial_Gap,std,13.740089832618931,14.613723923503612
Spatial_Gap,min,1.4633189379637006,9.053849391055664
Spatial_Gap,max,119.62936282947076,119.85994043291876
Spatial_Headway,mean,47.2271988384567,45.30444744703037
Spatial_Headway,std,13.740089832618931,14.613723923503612
Spatial_Headway,min,5.963318937963701,13.553849391055664
Spatial_Headway,max,124.12936282947076,124.35994043291876
