Vehicles,Max power (kW),Drive-Fuel,Engine displacement (cc),Battery capacity (kWh),Propulsion type ,Top speed (km/h),Model year
Hyundai Nexo,120,H2,-,1.56,Fuel Cell Electric,179,2019
Ford S-Max,110,diesel,1997,-,ICE,196,2018
