Date,30,9,2020
Vehicle_order,BMW,Hyundai,Ford
Number_of_vehicles,3
ACC,2
Distance_setting,second shortest
Time,Speed1,Lat1,Lon1,E1,N1,Speed2,Lat2,Lon2,Alt2,E2,N2,U2,Speed3,Lat3,Lon3,Alt3,E3,N3,U3,IVS1,IVS2,Driver2,Driver3
36294.49999999845,7.9006414119852115,0.799521278893173,0.15063281102352974,470.05354427519296,258.259321145547,8.170999999497047,0.7995230083140843,0.15062897779459095,265.8939999998777,453.000111250593,269.2827457830644,2.989248386999288,8.18600000148404,0.7995246524142396,0.15062461796211948,264.9650000000118,433.5818065656703,279.75185968356635,2.061144334533233,13.606045126108107,18.310664149072558,ACC,ACC
36294.59999999845,7.857776466295235,0.7995212202940787,0.1506329658370253,470.74304238631316,257.8861974618446,8.176000000998842,0.7995229419915726,0.15062913836488212,265.90000000006216,453.71527903431627,268.86041974523073,2.9952154858215674,8.203999998496336,0.799524586091728,0.1506247750417522,264.96499999995604,434.2814248757098,279.32953012544857,2.0611153578464507,13.557795524113176,18.324350717771235,ACC,ACC
36294.699999998455,7.836132923066978,0.7995211628213529,0.15063312132273696,471.4355337848672,257.52024712197743,8.092000000180564,0.7995228843957074,0.15062930242583178,265.8939999998731,454.44598844478975,268.4936705377808,2.989179029238497,8.283999999974274,0.7995245197692166,0.1506249356120434,264.97499999969943,434.9965903807006,278.90720217334786,2.0710852180561643,13.525248387227574,18.311748030932428,ACC,ACC
36294.799999998446,7.829832857549522,0.7995211051896146,0.150633276557992,472.12690992094144,257.1532841350314,8.155999999205061,0.7995228215638542,0.15062946474145225,265.91199999988686,455.1689288692836,268.0935761874005,3.0071444237675884,8.233000000259468,0.7995244534467049,0.15062509443700522,264.9999999996166,435.70398379757296,278.48487441187734,2.0960555004722936,13.480760925681635,18.314975989896848,ACC,ACC
36294.899999998444,7.823571693739456,0.7995210462354065,0.15063343057823153,472.8128756447922,256.7778989462161,8.123000001550293,0.7995227622226597,0.15062962705707272,265.9079999999264,455.8918661897886,267.7157114428545,3.0031087770635203,8.270999999595222,0.7995243941055102,0.15062525849795488,265.0149999999667,436.4346931417069,278.10700881618624,2.1110221430077942,13.448357332247774,18.30811968695445,ACC,ACC
36294.99999999844,7.816662003856914,0.799520986664305,0.15063358396283316,473.49601090337785,256.3985850631335,8.066999998751108,0.7995226993908067,0.15062978762736384,265.9299999995668,456.6070338635509,267.31561685538475,3.0250745152700724,8.243000000892525,0.7995243312736572,0.1506254208135754,265.0189999996291,437.1576301797275,277.706911836338,2.1149901801232707,13.410174753214507,18.30126561078768,ACC,ACC
36295.099999998434,7.811596136569923,0.7995209274060808,0.15063373749048006,474.1797831531095,256.0212637950797,8.176000000969557,0.7995226365589536,0.15062994994298431,265.95299999970416,457.3299749326608,266.9155229617828,3.0480395919293666,8.211999999590665,0.7995242666964751,0.15062557963853734,265.0519999997887,437.8650236585463,277.2956998874451,2.147959660166653,13.364917638933845,18.309746170609085,ACC,ACC
36295.19999999844,7.808968397343142,0.7995208684182481,0.1506338911931414,474.8643347910285,255.64566459488543,8.006000000220071,0.7995225789630882,0.15063010876794622,265.9679999998411,458.037366614464,266.5487733373376,3.063004281404301,8.2959999982691,0.7995242038646219,0.1506257436994869,265.0450000000022,438.59573334438653,276.8956031402788,2.1409269505243103,13.350552068829524,18.27348726199423,ACC,ACC
36295.29999999844,7.809077381358465,0.7995208094599252,0.15063404496049687,475.54917461611916,255.27025341807186,8.168999998470019,0.7995225178765645,0.1506302728288959,265.97799999976246,458.7680793465845,266.15979485980324,3.072968124392212,8.374999999717621,0.7995241445234273,0.1506259112510951,265.0510000002507,439.3419888702933,276.51773859007454,2.146892099978742,13.304681233560824,18.264994651657645,ACC,ACC
36295.39999999844,7.812936885992161,0.7995207504688974,0.15063419885978194,476.23460209469926,254.894634087728,8.116000000736525,0.7995224550447113,0.1506304333991871,266.0019999995144,459.48324754669403,265.75970067752905,3.0969334434392155,8.315000001976827,0.7995240851822328,0.15062607705737407,265.02000000016824,440.0804687270145,276.13987197552694,2.1158576729839598,13.266410573605533,18.2549035921811,ACC,ACC
36295.499999998436,7.823562367678669,0.7995206913152985,0.15063435301828862,476.9211841926139,254.51797962327785,8.109000001399675,0.7995223904675289,0.15063059222414907,266.0359999994588,460.19064416030716,265.34849119241903,3.1308996799972664,8.247999998335178,0.7995240240957091,0.15062624286365306,265.0349999998272,440.81895262862025,275.750892220682,2.1308236206537217,13.230151796258829,18.2380053654632,ACC,ACC
36295.599999998434,7.851260717199483,0.799520631419989,0.15063450762597988,477.6097672064576,254.1366019617301,7.976000000234965,0.7995223311263345,0.15063075104911094,266.05800000002245,460.89803753521346,264.9706269567301,3.152864423898803,8.415999999942544,0.799523963009185,0.15062641041526115,265.03100000000666,441.5652085272046,275.3619122815067,2.126788922423914,13.216274907648287,18.19850993014857,ACC,ACC
36295.69999999843,7.888913032554138,0.7995205706750135,0.150634662462904,478.29937162363854,253.7498135389613,8.095999998270559,0.7995222735304691,0.1506309133647314,266.0420000001704,461.62097388713005,264.6038775966216,3.1368274836222705,8.294999999688942,0.7995239054133197,0.15062657796686935,265.05699999911394,442.31146501214516,274.995164173427,2.1527531522840686,13.199237614164135,18.177972311967512,ACC,ACC
36295.79999999843,7.852405802311733,0.7995205113064301,0.15063481560677974,478.9814353637036,253.3717898695656,8.12399999973595,0.7995222124439454,0.15063107568035178,266.05099999962374,462.34391378451204,264.21489891338075,3.145791360613253,8.468999998808883,0.7995238390908084,0.15062674377314833,265.10799999992423,443.0499540738916,274.57284056640754,2.2037202098932083,13.159006471476113,18.14848936804896,ACC,ACC
36295.89999999843,7.693541976299526,0.7995204550474772,0.15063496581171995,479.6504089460411,253.01356828785114,8.12000000166212,0.7995221513574213,0.1506312397413015,266.07499999977824,463.0746280919769,263.82592151489496,3.1697545694025577,8.36100000196519,0.7995237745136259,0.15062690783409796,265.0959999993549,443.7806648619407,274.16162899261417,2.1916872139344097,13.090489969384985,18.137984516326988,ACC,ACC
36295.99999999844,7.584784972824953,0.7995203993261051,0.15063511623974335,480.3203758585527,252.65877032627282,7.970000000876405,0.7995220902708975,0.15063139856626348,266.0849999996605,463.7820217888543,263.4369418790714,3.179719364016345,8.32700000002541,0.7995237116817727,0.1506270718950477,265.1709999996856,444.51138100155777,273.7615364715469,2.26665363106475,13.040469532315305,18.112178524840363,ACC,ACC
36296.099999998434,7.679057885880778,0.7995203413468421,0.15063526993668694,481.0049022779265,252.2895946654201,8.049999998132646,0.7995220291843738,0.15063155913655465,266.1199999994582,464.49719062470876,263.0479639381086,3.2146834904510952,8.312000000243431,0.7995236505952489,0.15062723770132658,265.13600000001685,445.2498620065282,273.3725550831064,2.231618922430179,13.003985724551006,18.09163092004799,ACC,ACC
36296.199999998425,7.830462019228261,0.7995202817258202,0.15063542507575448,481.6958521655365,251.90996438259137,8.046000003009745,0.7995219680978499,0.1506317179615166,266.1399999999136,465.2045852344608,262.6589848728941,3.234648080185788,8.325999999048015,0.7995235895087252,0.15062740350760553,265.1869999994926,445.9883490994845,272.9835774746859,2.28258410237821,12.98510417785339,18.06423717639787,ACC,ACC
36296.29999999842,7.872089432817327,0.7995202217391825,0.15063557933050334,482.3828639567967,251.52800552510968,7.838999999775603,0.7995219122473142,0.15063187504114928,266.14399999975484,465.90420303727774,262.3033503178644,3.2386117615055308,8.394999999649594,0.7995235266768721,0.1506275693138845,265.18099999989056,446.7268331108262,272.58348228689204,2.2765496491293264,12.988939054789634,18.008966671158696,ACC,ACC
