Date,30,9,2020
Vehicle_order,BMW,Hyundai,Ford
Number_of_vehicles,3
ACC,1
Distance_setting,second shortest
Time,Speed1,Lat1,Lon1,E1,N1,Speed2,Lat2,Lon2,Alt2,E2,N2,U2,Speed3,Lat3,Lon3,Alt3,E3,N3,U3,IVS1,IVS2,Driver2
38856.899999996414,13.233205246141978,0.7994819949213348,0.15056011209966547,145.87130171281504,7.404771996202957,13.396000000764108,0.7994825864886079,0.15056645486481,268.5419999995289,174.12748172474988,11.173239947550632,5.948617491397092,13.370000002470679,0.7994830926340913,0.15057224935792654,268.25600000098405,199.93554933073543,14.397431147753114,5.661855563157519,21.806368754494162,22.258686288441886,ACC
38856.999999996406,13.293368119227376,0.7994819649768614,0.15055981657481307,144.55511807479604,7.214046275861706,13.195000005133533,0.7994825585633399,0.15056615990416622,268.54800000030656,172.81375717368275,10.995359696744751,5.954653469944452,13.273000007086587,0.7994830647088231,0.15057195265195356,268.27899999895334,198.6140532677533,14.2195452375171,5.684897176638081,21.810507096649125,22.250974038351607,ACC
38857.099999996404,13.252128185685065,0.7994819389558432,0.15055952243474732,143.2451012498957,7.04830665820863,13.198000000052051,0.7994825306380718,0.1505658649435227,268.5320000003234,171.50003195533742,10.817479685668156,5.938689171515534,13.10799999743435,0.7994830332928966,0.15057166118196855,268.27900000072293,197.3158777499305,14.019429852278893,5.684937843251655,21.805223634980372,22.2636575467516,ACC
38857.1999999964,13.173540326616859,0.7994819132802088,0.1505592296380388,141.94106724941886,6.884766958979799,13.186999995520909,0.7994825062034623,0.15056556823755002,268.537999999478,170.17853309691375,10.66183022533002,5.944724767456562,13.333999996598408,0.7994830071129577,0.15057136273066654,268.26399999977264,195.9866064574861,13.852659392419033,5.6699791202889465,21.78895723620737,22.25457731550798,ACC
38857.2999999964,13.144752945993845,0.7994818850584297,0.15055893720350824,140.6386465896667,6.705012991268772,13.411999994778226,0.7994824835141823,0.1505652662955895,268.54999999982317,168.83371337818198,10.517295645517127,5.956760685443525,13.29899999556759,0.7994829791876895,0.1505710677700231,268.25800000245584,194.67288281240863,13.674774502445912,5.664019668661521,21.751630713277574,22.281372414504453,ACC
38857.3999999964,13.184334463576622,0.7994818574820327,0.15055864298051752,139.3282604507223,6.529369099064598,13.380000004522008,0.799482453843585,0.15056496784428727,268.5769999970161,167.50444228204526,10.32830090496874,5.983795977385715,13.565999996070996,0.7994829634797264,0.15057076233740413,268.1690000006692,193.31251289191584,13.574694823210109,5.575061182763814,21.73112916255144,22.261450979836926,ACC
38857.4999999964,13.277205608749034,0.7994818335749472,0.1505583455705993,138.0036799999879,6.377092389383964,13.239000005826053,0.7994824311543045,0.15056467113831432,268.67399999871435,166.18294527443763,10.183767659587136,6.080830719457589,13.37100001236897,0.7994829355544585,0.15057046388610162,268.21299999972973,191.98324354338382,13.396810128007589,5.619101639220951,21.735220555159845,22.249596778997606,ACC
38857.599999996404,13.34227633386107,0.7994818096076514,0.1505580477534294,136.677285692934,6.22443248163456,13.126999999509918,0.7994823979930491,0.150564377923,268.6520000000232,164.8769939654037,9.97254357909085,6.058864887957759,13.092000005667865,0.7994829041385321,0.15057017416144572,268.1570000017084,190.6928395267917,13.1966962535704,5.563140700457983,21.74770436171028,22.26639949181658,ACC
38857.6999999964,13.31201470698992,0.7994817816533977,0.15055775245631756,135.3621155369807,6.0463830179283855,13.227999997322804,0.7994823735584393,0.15056408121702725,268.69299999914034,163.55549562562274,9.816895574603883,6.0998990939807065,13.090999995213007,0.799482876213264,0.15056988094613147,268.15399999981133,189.3868892524593,13.01881272960756,5.560179908327439,21.744392167221413,22.279083160420342,ACC
38857.7999999964,13.239132056279841,0.799481751749987,0.15055745901896606,134.0552284555414,5.855921227554588,13.212000002018865,0.7994823438878421,0.15056378625638353,268.6750000009322,162.24177012508912,9.62790229523199,6.081932876911366,13.223999999216185,0.7994828465426665,0.1505695877308172,268.139000000993,188.08093888795432,12.829814233445976,5.5452188695860425,21.73780885483385,22.286798620719576,ACC
