Date,30,9,2020
Vehicle_order,Ford,Hyundai
Number_of_vehicles,2
ACC,
Distance_setting,shortest
Time,Speed1,Lat1,Lon1,Alt1,E1,N1,U1,Speed2,Lat2,Lon2,Alt2,E2,N2,U2,IVS1,Driver1
43032.299999997784,12.965999998971903,0.7994934965417568,0.15053010838312778,262.3730000010185,11.147132808050099,81.24110300115989,3.154472093238444,12.592999997703595,0.7994889202884585,0.15053247854025356,265.40600000066064,21.703595254985352,52.097065607589464,6.1877500524752005,24.88699687052577,ACC
43032.39999999778,13.023999999074213,0.7994936972546209,0.15053004904193318,262.32700000098856,10.882833059432777,82.51935153431177,3.1084561153001613,12.677999999202713,0.7994890983120423,0.1505323511312181,265.3630000010413,21.13612619289815,53.230815595807066,6.144742578551737,24.92140920908764,ACC
43032.49999999778,13.0080000019351,0.7994938979674847,0.15052999668205552,262.28500000088576,10.649627232313067,83.79760016665242,3.0664398179642736,12.667000000558991,0.7994892780809552,0.15053222721284118,265.31700000109925,20.584204281689523,54.37568086777872,6.0987347083959556,24.94390726429501,ACC
43032.59999999779,12.921000000042605,0.7994940986803488,0.15052994606750714,262.2450000009275,10.424194956053787,85.07584883550662,3.026423241956907,12.672999998894188,0.7994894578498681,0.15053210503979345,265.2620000012861,20.040056042527333,55.5205461187376,6.043726560064408,24.97023010072819,ACC
43032.699999997785,13.013999997495027,0.7994942993932128,0.15052990068894645,262.2000000010629,10.22208310905672,86.35409746949438,2.9814063649406752,12.74699999853826,0.7994896411094397,0.15053198635740425,265.20700000107996,19.51145491978385,56.6876418885384,5.9887179147196115,24.976830256151327,ACC
43032.79999999778,13.069000000124593,0.7994945035967351,0.15052985880104433,262.15200000101544,10.035518198850383,87.6545765027363,2.933388893248942,12.78799999929434,0.799489824369011,0.15053186942034436,265.1660000007881,18.99062753303648,57.854737833226004,5.947708988268976,25.006303892269532,ACC
43032.899999997775,13.032000000812545,0.7994947060549285,0.1505298204038007,262.10900000094995,9.864500282525693,88.94394040896982,2.8903712831893755,12.819999999413266,0.7994900093739117,0.1505317524832844,265.13100000084086,18.469800332814557,59.032949083572,5.912699701702138,25.014244424941893,ACC
43032.999999997766,13.005000000900012,0.7994949085131217,0.1505297854972156,262.0670000008625,9.709029325736873,90.23330434296896,2.8483533825969243,12.869999997575553,0.7994901961241416,0.1505316407822122,265.0940000006578,17.972293748333133,60.22227563361408,5.875689984452412,25.01785542101268,ACC
43033.09999999777,12.963000000196152,0.7994951109713149,0.150529754081289,262.03100000081,9.569105325621267,91.52266837644295,2.8123351954343714,12.996999998462114,0.7994903846197007,0.15053152908114004,265.06700000080286,17.474787356877762,61.42271752619831,5.848679900305594,25.010842687280736,ACC
43033.19999999777,12.999999998649347,0.7994953151748373,0.15052972441069173,261.9940000007734,9.436954805645296,92.82314761022025,2.775316568289811,12.995000000226819,0.7994905748605892,0.15053142087072627,265.02000000107324,16.992828038010906,62.634274516959394,5.801669400187137,25.010078389113808,ACC
