Date,9,10,2019
Vehicle_order,SKODA_TARGET,MAZDA_3,TOYOTA_RAV4,AUDI_E_TRON,BMW_I3,MERCEDES_GLE450,JAGUAR_I_PACE,TESLA_MODELX,TESLA_MODELS,AUDI_A4,
Number_of_vehicles,10
ACC,1
Distance_setting,SL
Time,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed8,E8,N8,Lon8,Lat8,Alt8,Speed9,E9,N9,Lon9,Lat9,Alt9,Speed10,E10,N10,Lon10,Lat10,Alt10,IVS4,IVS5,IVS6,IVS7,IVS8,IVS9
5383.1,2.733730805225332,123.68353973047428,185.68794337905757,16.846562012087258,46.88696733466268,227.875,0.08407575742906935,121.76626052227444,163.85537871421732,16.846536852980908,46.886770942323615,227.793,0.002092971006157461,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.048229726674929696,120.90321590010744,146.63252900997162,16.846525527853437,46.886616016148395,228.47799999999998,0.0211994751186288,120.65997001202534,136.6331352077532,16.846522335908755,46.88652606774481,228.021,0.057183578571662924,118.36071102710724,125.73349677414801,16.8464921643505,46.886428021293575,227.65200000000002,0.0,119.20397515158001,116.8826711817136,16.846503229912415,46.88634840470398,228.799,0.008983916205393282,117.16578348554388,112.8030426691997,16.846476484156938,46.886311706872156,228.835,5.56094883420489,2.854070708934338,5.397671700107027,6.729401972955499,3.5677810714829503,-0.13588215801784995
5383.2,2.866193060772975,123.70242335382864,185.97585118322203,16.846562259883758,46.886969924504406,227.875,0.09837987076789374,121.76703873434772,163.86879580714017,16.846536863192835,46.88677106301554,227.793,0.0018327663619202906,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.046326078905590214,120.90297477673084,146.6326875992717,16.846525524689344,46.88661601757498,228.47799999999998,0.019081288743233508,120.6592931347641,136.6331253553145,16.846522327026573,46.886526067656185,228.021,0.05448666572979555,118.35963055778065,125.7316472936055,16.84649215017226,46.88642800465679,227.65200000000002,0.0,119.20509048403471,116.88232299417524,16.84650324454814,46.886348401571894,228.799,0.008910367572367822,117.168033520468,112.80303119290191,16.846476513682564,46.88631170676894,228.835,5.574310540578068,2.8538866546958053,5.397850698379745,6.731285291136827,3.5664951135713308,-0.136690419008473
5383.3,2.9989111223262794,123.72123004634376,186.27384413057817,16.846562506670757,46.88697260506589,227.875,0.1127845430626571,121.76781398323534,163.88342708974605,16.84653687336588,46.886771194629574,227.793,0.0017190503425260134,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.044213068889839606,120.90272801965729,146.6328394156456,16.846525521451323,46.88661601894062,228.47799999999998,0.017449046440890226,120.65861487367626,136.6331639941639,16.84652231812623,46.88652606800376,228.021,0.05232073560149072,118.35858870095068,125.7297708776359,16.846492136500707,46.8864279877777,227.65200000000002,0.0,119.20629410588863,116.88183552906892,16.84650326034242,46.88634839718696,228.799,0.008836818939342364,117.17042616254236,112.80304734793215,16.846476545079526,46.886311706914256,228.835,5.588869572844498,2.8537087223695856,5.397974363796736,6.7332341563668745,3.5653263333790837,-0.1376721135548724
5383.4,3.1318849898852457,123.73995509577142,186.5825712229913,16.846562752386408,46.88697538218514,227.875,0.12728977431335947,121.76874381159,163.89951344954358,16.846536885567367,46.88677133933258,227.793,0.0017518229479746305,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.04189069662767786,120.90247219149302,146.6329778341963,16.84652551809427,46.88661602018575,228.47799999999998,0.01630274821159893,120.65793242158679,136.63325320560244,16.84652230917089,46.88652606880625,228.021,0.05068578818674845,118.35758219621029,125.72787360878631,16.846492123293054,46.88642797071103,227.65200000000002,0.0,119.20810594843252,116.880408025222,16.846503284117958,46.88634838434603,228.799,0.008763270306316906,117.17292817153414,112.80300537364376,16.846476577911627,46.88631170653668,228.835,5.6048895530465535,2.853543121253145,5.3980339769812495,6.735244747678429,3.5651279568669656,-0.139220021921858
5383.5,3.2651146634498724,123.75875307016857,186.9020328800433,16.846562999059003,46.88697825586596,227.875,0.1418955645200008,121.76985059512728,163.91711930199654,16.84653690009091,46.88677149770402,227.793,0.0019310841782661414,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.039358962119105,120.90212920571079,146.6330303758272,16.84652551359351,46.88661602065839,228.47799999999998,0.015642394055359627,120.65724284701518,136.6333944513904,16.84652230012209,46.88652607007681,228.021,0.049581823485568735,118.35660779350063,125.72596215892055,16.846492110506652,46.8864279535168,227.65200000000002,0.0,119.2102319007028,116.878938092115,16.846503312015333,46.8863483711234,228.799,0.008689721673291446,117.17555557587737,112.80291799496892,16.846476612389207,46.88631170575068,228.835,5.6224377414090085,2.8534533493677747,5.39795377858699,6.737312034219741,3.5649856920872294,-0.14068098632605786
5383.6,3.3986001430201602,123.77758643546885,187.2330306044706,16.84656324619601,46.886981233318146,227.875,0.15660191368258114,121.77104144434544,163.9361151345346,16.846536915717586,46.88677166857887,227.793,0.002256834033400549,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.036617865364121004,120.90186938003187,146.6331414720614,16.846525510183998,46.886616021657744,228.47799999999998,0.015467983972172332,120.65654301129595,136.63358860396713,16.846522290938633,46.88652607182328,228.021,0.049008841497951566,118.3556621566672,125.72368329017652,16.846492098097727,46.886427933017494,227.65200000000002,0.0,119.2120445351502,116.87745301078623,16.84650333580126,46.88634835776452,228.799,0.0064912385883268645,117.17832156773851,112.8027948217606,16.84647664868537,46.88631170464269,228.835,5.64137117176837,2.853314487933903,5.397881529309178,6.739782547087989,3.5644609294736744,-0.1423253019784667
5383.7,3.532341428596109,123.79607551716556,187.5762601572084,16.84656348881522,46.886984320800345,227.875,0.1714088218011004,121.77227054375038,163.9563483412015,16.846536931846188,46.88677185058435,227.793,0.00272907251337785,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.033667406362725874,120.90153859490788,146.63316682949448,16.84652550584334,46.88661602188584,228.47799999999998,0.01577951796203701,120.6558294856994,136.63383597667053,16.846522281575538,46.8865260740485,228.021,0.04896684222389697,118.35474173583923,125.72153423506184,16.84649208601969,46.88642791368592,227.65200000000002,0.0,119.21374791737377,116.875979504618,16.846503358153544,46.886348344509756,228.799,0.0042927555033622855,117.18128619153593,112.80264261647436,16.846476687588044,46.886311703273535,228.835,5.661531872927848,2.853253098164272,5.397668975581079,6.7421700935359725,3.564041749232561,-0.1440707410474671
5383.8,3.663627072662172,123.81440545025694,187.93158248299275,16.846563729346038,46.88698751706169,227.875,0.18666560943870167,121.7737038889583,163.9781011381852,16.846536950654972,46.88677204625914,227.793,0.003347799618198046,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.030949427755576443,120.90123622440493,146.63319811109815,16.846525501875547,46.88661602216722,228.47799999999998,0.016576996024953695,120.65509846855223,136.63413635395713,16.846522271982913,46.8865260767505,228.021,0.04945582566340491,118.35384269079046,125.71950430716556,16.846492074222155,46.88642789542593,227.65200000000002,1.4094293954158846e-07,119.2156497738891,116.87454375507076,16.84650338311027,46.88634833159464,228.799,0.0020942724183977066,117.18444004865988,112.80246555707905,16.846476728973894,46.886311701680825,228.835,5.683225532743295,2.8531889407009583,5.397410500332367,6.744484928875625,3.5637215349620486,-0.1457559642971944
5383.9,3.7897456277625827,123.83255672916052,188.29903930865376,16.846563967532507,46.88699082247755,227.875,0.2027215971508271,121.77513565686256,164.00107558751273,16.846536969443054,46.88677225292319,227.793,0.004023370087253732,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.02890577217358862,120.90093880173627,146.63330311173186,16.846525497972678,46.886616023111756,228.47799999999998,0.017536171843943082,120.65434570235828,136.6344890216214,16.846522262104898,46.88652607992289,228.021,0.05014809785872039,118.35296077723513,125.71758408936635,16.846492062649425,46.886427878152844,227.65200000000002,3.283502850170983e-07,119.21772439367695,116.87317142323036,16.846503410334044,46.886348319249976,228.799,0.0013961816122651375,117.18777424784996,112.8022655021081,16.846476772726245,46.88631169988125,228.835,5.706124592793253,2.8530520585809374,5.3971741243233415,6.746735568201897,3.563463447797288,-0.14736716906789304
5384.0,3.9106970938973413,123.85030431537615,188.67862031804503,16.84656420042159,46.88699423695512,227.875,0.21957678493747648,121.77672390584029,164.02551282955358,16.84653699028453,46.8867724727456,227.793,0.004666138661913839,120.10152897920246,153.90415503248727,16.846515007879916,46.88668142722885,228.636,0.027536439616762408,120.90081433032215,146.63357165527887,16.846525496339325,46.8866160255274,228.47799999999998,0.018332799109174267,120.65356639091921,136.6348927970156,16.84652225187854,46.88652608355501,228.021,0.05071596485931279,118.352091243232,125.71576528272358,16.84649205123914,46.88642786179197,227.65200000000002,4.913528701688819e-07,119.21951047978209,116.87188767299335,16.846503433771602,46.88634830770216,228.799,0.0006980908061325689,117.19123110412347,112.80204225186338,16.846476818088135,46.88631169787303,228.835,5.730492900615747,2.8527715208932864,5.3970551001351765,6.748928968091838,3.563189760745133,-0.14906168066406256
