distance_gt_m,ape_deg,ase_deg_per_s,dee_m,orientation_gt,orientation_pred,object_id_pred,object_track_id_gt
45.7618094729642,0.0,0.0,0.0,preceding,preceding,1,1
46.13269793923354,0.0,0.0,0.0,preceding,preceding,1,1
46.51031522764437,0.0,0.0,0.0,preceding,preceding,1,1
46.87130973858375,0.0,0.0,0.0,preceding,preceding,1,1
47.234308916153225,0.0,0.0,0.0,preceding,preceding,1,1
47.59035997882965,0.0,0.0,0.0,preceding,preceding,1,1
47.93557157211291,0.0,0.0,0.0,preceding,preceding,1,1
48.28949726201686,0.0,0.0,0.0,preceding,preceding,1,1
48.63749437496431,0.0,0.0,0.0,preceding,preceding,1,1
48.963844058756095,0.0,0.0,0.0,preceding,preceding,1,1
49.30831369109399,0.0,0.0,0.0,preceding,preceding,1,1
49.63725680382531,0.0,0.0,0.0,preceding,preceding,1,1
49.97097050122689,0.0,0.0,0.0,preceding,preceding,1,1
50.28391727762474,0.0,0.0,0.0,preceding,preceding,1,1
50.61647983724768,0.0,0.0,0.0,preceding,preceding,1,1
50.933247474127874,0.0,0.0,0.0,preceding,preceding,1,1
51.23727376702018,0.0,0.0,0.0,preceding,preceding,1,1
51.5533177935396,0.0,0.0,0.0,preceding,preceding,1,1
51.85639693383269,0.0,0.0,0.0,preceding,preceding,1,1
52.16832989933381,0.0,0.0,0.0,preceding,preceding,1,1
52.457013254444206,0.0,0.0,0.0,preceding,preceding,1,1
52.757576575430136,0.0,0.0,0.0,preceding,preceding,1,1
53.04774550313245,0.0,0.0,0.0,preceding,preceding,1,1
53.3553193605986,0.0,0.0,0.0,preceding,preceding,1,1
53.63399816207741,0.0,0.0,0.0,preceding,preceding,1,1
53.90997058585424,0.0,0.0,0.0,preceding,preceding,1,1
54.17544275670076,0.0,0.0,0.0,preceding,preceding,1,1
54.439616476164986,0.0,0.0,0.0,preceding,preceding,1,1
54.71648267170606,0.0,0.0,0.0,preceding,preceding,1,1
54.984816164202,0.0,0.0,0.0,preceding,preceding,1,1
55.23996713592357,0.0,0.0,0.0,preceding,preceding,1,1
55.49473947691185,0.0,0.0,0.0,preceding,preceding,1,1
55.765916048317685,0.0,0.0,0.0,preceding,preceding,1,1
56.02220071015089,0.0,0.0,0.0,preceding,preceding,1,1
56.26723665122611,0.0,0.0,0.0,preceding,preceding,1,1
56.51472665424343,0.0,0.0,0.0,preceding,preceding,1,1
56.759419769053046,0.0,0.0,0.0,preceding,preceding,1,1
57.01116187071674,0.0,0.0,0.0,preceding,preceding,1,1
57.24730874240159,0.0,0.0,0.0,preceding,preceding,1,1
57.50082555423734,0.0,0.0,0.0,preceding,preceding,1,1
57.73355003530623,0.0,0.0,0.0,preceding,preceding,1,1
57.9811177182278,0.0,0.0,0.0,preceding,preceding,1,1
58.22020325393686,0.0,0.0,0.0,preceding,preceding,1,1
58.454856484122345,0.0,0.0,0.0,preceding,preceding,1,1
58.68798989769198,0.0,0.0,0.0,preceding,preceding,1,1
58.94122859780245,0.0,0.0,0.0,preceding,preceding,1,1
59.15725497523882,0.0,0.0,0.0,preceding,preceding,1,1
59.40467319646655,0.0,0.0,0.0,preceding,preceding,1,1
59.63917183096095,0.0,0.0,0.0,preceding,preceding,1,1
59.87386593032456,0.0,0.0,0.0,preceding,preceding,1,1
60.10253051810683,0.0,0.0,0.0,preceding,preceding,1,1
60.33392129535414,0.0,0.0,0.0,preceding,preceding,1,1
60.56206536925429,0.0,0.0,0.0,preceding,preceding,1,1
60.78752715977885,0.0,0.0,0.0,preceding,preceding,1,1
61.01914500953405,0.0,0.0,0.0,preceding,preceding,1,1
61.24126737182975,0.0,0.0,0.0,preceding,preceding,1,1
61.46499343475028,0.0,0.0,0.0,preceding,preceding,1,1
61.70554912072834,0.0,0.0,0.0,preceding,preceding,1,1
61.925938380872736,0.0,0.0,0.0,preceding,preceding,1,1
62.14791782183509,0.0,0.0,0.0,preceding,preceding,1,1
62.359518446087456,0.0,0.0,0.0,preceding,preceding,1,1
62.58063771215794,0.0,0.0,0.0,preceding,preceding,1,1
62.791239065697845,0.0,0.0,0.0,preceding,preceding,1,1
63.019371125688096,0.0,0.0,0.0,preceding,preceding,1,1
63.22650319629442,0.0,0.0,0.0,preceding,preceding,1,1
63.43368703230461,0.0,0.0,0.0,preceding,preceding,1,1
63.63434572352924,0.0,0.0,0.0,preceding,preceding,1,1
63.82462572683339,0.0,0.0,0.0,preceding,preceding,1,1
64.03237536063097,0.0,0.0,0.0,preceding,preceding,1,1
64.22318216065541,0.0,0.0,0.0,preceding,preceding,1,1
64.42745726593111,0.0,0.0,0.0,preceding,preceding,1,1
64.60354829547354,0.0,0.0,0.0,preceding,preceding,1,1
64.80132735651195,0.0,0.0,0.0,preceding,preceding,1,1
64.97149838791005,0.0,0.0,0.0,preceding,preceding,1,1
65.16327960516686,0.0,0.0,0.0,preceding,preceding,1,1
65.33095975610968,0.0,0.0,0.0,preceding,preceding,1,1
65.52974658186115,0.0,0.0,0.0,preceding,preceding,1,1
65.69406723609697,0.0,0.0,0.0,preceding,preceding,1,1
65.87348625277133,0.0,0.0,0.0,preceding,preceding,1,1
66.04482591183489,0.0,0.0,0.0,preceding,preceding,1,1
66.23123906339424,0.0,0.0,0.0,preceding,preceding,1,1
66.4006643124963,0.0,0.0,0.0,preceding,preceding,1,1
66.56597197998303,0.0,0.0,0.0,preceding,preceding,1,1
66.74247340152887,0.0,0.0,0.0,preceding,preceding,1,1
66.92070194447832,0.0,0.0,0.0,preceding,preceding,1,1
67.0841677090748,0.0,0.0,0.0,preceding,preceding,1,1
67.25469325500579,0.0,0.0,0.0,preceding,preceding,1,1
67.42945315370063,0.0,0.0,0.0,preceding,preceding,1,1
67.5939500459124,0.0,0.0,0.0,preceding,preceding,1,1
67.76019666872483,0.0,0.0,0.0,preceding,preceding,1,1
67.91581884332516,0.0,0.0,0.0,preceding,preceding,1,1
68.07149818765359,0.0,0.0,0.0,preceding,preceding,1,1
68.23172393258987,0.0,0.0,0.0,preceding,preceding,1,1
68.38555612249017,0.0,0.0,0.0,preceding,preceding,1,1
68.55280451213687,0.0,0.0,0.0,preceding,preceding,1,1
68.69909432177846,0.0,0.0,0.0,preceding,preceding,1,1
68.84153469638741,0.0,0.0,0.0,preceding,preceding,1,1
68.98562198581872,0.0,0.0,0.0,preceding,preceding,1,1
69.13255193189927,0.0,0.0,0.0,preceding,preceding,1,1
69.29191336796026,0.0,0.0,0.0,preceding,preceding,1,1
69.43797331256908,0.0,0.0,0.0,preceding,preceding,1,1
69.58429275920113,0.0,0.0,0.0,preceding,preceding,1,1
69.71754939170332,0.0,0.0,0.0,preceding,preceding,1,1
69.84541979437284,0.0,0.0,0.0,preceding,preceding,1,1
70.00032939395022,0.0,0.0,0.0,preceding,preceding,1,1
70.14483094033875,0.0,0.0,0.0,preceding,preceding,1,1
70.26404655408962,0.0,0.0,0.0,preceding,preceding,1,1
70.41305758818496,0.0,0.0,0.0,preceding,preceding,1,1
70.54100745038933,0.0,0.0,0.0,preceding,preceding,1,1
70.66654847521134,0.0,0.0,0.0,preceding,preceding,1,1
70.80158561952045,0.0,0.0,0.0,preceding,preceding,1,1
70.90606448497093,0.0,0.0,0.0,preceding,preceding,1,1
71.03506146334287,0.0,0.0,0.0,preceding,preceding,1,1
71.15884995049024,0.0,0.0,0.0,preceding,preceding,1,1
71.26702729135258,0.0,0.0,0.0,preceding,preceding,1,1
71.39560499365122,0.0,0.0,0.0,preceding,preceding,1,1
71.51866135383457,0.0,0.0,0.0,preceding,preceding,1,1
71.63376547553236,0.0,0.0,0.0,preceding,preceding,1,1
71.74778948934768,0.0,0.0,0.0,preceding,preceding,1,1
71.85141068206903,0.0,0.0,0.0,preceding,preceding,1,1
71.972460292879,0.0,0.0,0.0,preceding,preceding,1,1
72.07796196914595,0.0,0.0,0.0,preceding,preceding,1,1
72.16311426478205,0.0,0.0,0.0,preceding,preceding,1,1
72.26614038601362,0.0,0.0,0.0,preceding,preceding,1,1
72.342735462113,0.0,0.0,0.0,preceding,preceding,1,1
72.42313044533509,0.0,0.0,0.0,preceding,preceding,1,1
72.50923226475652,0.0,0.0,0.0,preceding,preceding,1,1
72.57422253555966,0.0,0.0,0.0,preceding,preceding,1,1
72.6563793204619,0.0,0.0,0.0,preceding,preceding,1,1
72.73867555741973,0.0,0.0,0.0,preceding,preceding,1,1
72.80293669865581,0.0,0.0,0.0,preceding,preceding,1,1
72.84745674478714,0.0,0.0,0.0,preceding,preceding,1,1
72.91329345887209,0.0,0.0,0.0,preceding,preceding,1,1
72.94092235620937,0.0,0.0,0.0,preceding,preceding,1,1
72.97544984765163,0.0,0.0,0.0,preceding,preceding,1,1
73.01527279900331,0.0,0.0,0.0,preceding,preceding,1,1
73.02926889238906,0.0,0.0,0.0,preceding,preceding,1,1
73.08137228522958,0.0,0.0,0.0,preceding,preceding,1,1
73.09514944198038,0.0,0.0,0.0,preceding,preceding,1,1
73.09225821609039,0.0,0.0,0.0,preceding,preceding,1,1
73.09980953731132,0.0,0.0,0.0,preceding,preceding,1,1
73.10177437465273,0.0,0.0,0.0,preceding,preceding,1,1
73.10766201283866,0.0,0.0,0.0,oncoming,oncoming,1,1
73.09873096894019,0.0,0.0,0.0,oncoming,oncoming,1,1
