Trajectory_ID,Time_Index,ID_LV,Type_LV,Pos_LV,Speed_LV,Acc_LV,ID_FAV,Pos_FAV,Speed_FAV,Acc_FAV,Spatial_Gap,Spatial_Headway,Speed_Diff
3,0.0,1,1,,,,2,0.0,0.0030811420337402,0.001273702225396997,,,
3,0.09999999999990905,1,1,4.389213918040586,0.0103676510785699,0.003395127921461006,2,0.00031448271450100506,0.0032085122562799,0.0021980755413070034,-0.1111005646739151,4.388899435326085,0.007159138822289999
3,0.1999999999998181,1,1,4.3906697160453545,0.010707163870716,0.00635745741315601,2,0.00064632431783553,0.0034283198104106,0.003122448857216997,-0.1099766082724809,4.390023391727519,0.007278844060305399
3,0.3000000000001819,1,1,4.3919311140191475,0.0113429096120316,0.006921763458386989,2,0.001004768543162675,0.0037405646961323,0.0040468221731270035,-0.1090736545240149,4.390926345475985,0.007602344915899301
3,0.40000000000009095,1,1,4.393026704826576,0.0120350859578703,0.005088046051569001,2,0.00139905912364154,0.004145246913445,0.004375574793437998,-0.1083723542970656,4.391627645702934,0.0078898390444253
3,0.5,1,1,4.393981159251523,0.0125438905630272,0.0032543286447520026,2,0.00183546168895323,0.0045828043927888,0.004108706716761997,-0.1078543024374303,4.39214569756257,0.007961086170238399
3,0.599999999999909,1,1,4.394812266980206,0.0128693234275024,0.0014206112379359925,2,0.00231428566181592,0.004993675064465,0.003841838640088,-0.1075020186816102,4.39249798131839,0.007875648363037401
3,0.6999999999998181,1,1,4.395533934194883,0.013011384551296,-0.0004131061688830012,2,0.00283286236146286,0.0053778589284738,0.0035749705634119996,-0.1072989281665801,4.39270107183342,0.0076335256228222
3,0.8000000000001819,1,1,4.39615918151995,0.0129700739344077,-0.002246823575698994,2,0.0033885231071272997,0.005735355984815,0.003308102486737005,-0.1072293415871774,4.3927706584128225,0.0072347179495926995
3,0.900000000000091,1,1,4.396700164172516,0.0127453915768378,-0.004080540982515993,2,0.0039785992180424844,0.0060661662334887,0.003041234410062002,-0.1072784350455267,4.392721564954473,0.0066792253433491
3,1.0,1,1,4.397168192380111,0.0123373374785862,-0.005914258389333998,2,0.004600422013441664,0.0063702896744949,0.0027743663333859928,-0.1074322296333312,4.392567770366669,0.0059670478040913
3,1.099999999999909,1,1,4.397573752028805,0.0117459116396528,-0.0054995923556780055,2,0.005251322812558084,0.0066477263078335,0.002507498256711007,-0.1076775707837534,4.392322429216247,0.005098185331819301
3,1.199999999999818,1,1,4.397926525509316,0.011195952404085,-0.002836542876232997,2,0.005928632934624989,0.0068984761335046,0.0018323363268999988,-0.1080021074253085,4.391997892574691,0.0042974762705804
3,1.300000000000182,1,1,4.3982333712628305,0.0109122981164617,-0.0001734933967880055,2,0.006627642229609949,0.0070817097661946,0.0007488805429859986,-0.1083942709667793,4.391605729033221,0.0038305883502671003
3,1.400000000000091,1,1,4.398496303469414,0.0108949487767829,0.002489556082657992,2,0.0073395576089443386,0.0071565978204932,-0.0003345752409270042,-0.108843254139531,4.391156745860469,0.0037383509562897
3,1.5,1,1,4.3987145547949265,0.0111439043850487,0.005152605562102012,2,0.008053544514789023,0.0071231402964005,-0.0014180310248399983,-0.1093389897198626,4.390661010280137,0.0040207640886481995
3,1.599999999999909,1,1,4.398886639237192,0.0116591649412589,0.007815655041547992,2,0.008758768389304873,0.0069813371939165,-0.0025014868087539985,-0.1098721291521123,4.390127870847888,0.0046778277473424005
3,1.699999999999818,1,1,4.399010373584831,0.0124407304454137,0.010478704520993,2,0.009444394674652754,0.0067311885130411,-0.0035849425926670012,-0.110434021089822,4.389565978910178,0.0057095419323725995
3,1.800000000000182,1,1,4.399082898941927,0.013488600897513,0.01314175400043801,2,0.01009958881299353,0.0063726942537744,-0.004668398376579995,-0.1110166898710662,4.388983310128934,0.0071159066437386
3,1.900000000000091,1,1,4.399100702305365,0.0148027762975568,0.012773323422795007,2,0.010713516246488069,0.0059058544161164,-0.005751854160494004,-0.1116128139411234,4.388387186058877,0.0088969218814404
3,2.0,1,1,4.3990596381830045,0.0160801086398363,0.009373412780785996,2,0.011275342417297239,0.005330669000067,-0.0054856007333149975,-0.112215704234293,4.387784295765707,0.010749439639769301
3,2.099999999999909,1,1,4.398961698789364,0.0170174499179149,0.005973502138777002,2,0.011780981313637364,0.0047821089267355,-0.0038696380918029974,-0.1128192825242733,4.387180717475727,0.0122353409911794
3,2.199999999999818,1,1,4.398821784264095,0.0176148001317926,0.0025735914967659965,2,0.0122398440158519,0.0043951451175552,-0.0022536754502900085,-0.1134180597517566,4.386581940248243,0.0132196550142374
3,2.300000000000182,1,1,4.3986609758143125,0.0178721592814692,-0.000826319145241991,2,0.012668090150355969,0.0041697775725262,-0.0006377128087789972,-0.1140071143360437,4.385992885663956,0.013702381708943001
3,2.400000000000091,1,1,4.398499808867687,0.017789527366945,-0.0042262297872520255,2,0.013081879343564693,0.0041060062916483,0.0009782498327330028,-0.1145820704758779,4.385417929524122,0.013683521075296702
3,2.5,1,1,4.398358294777717,0.0173669043882198,-0.0076261404292619905,2,0.013497371221893189,0.0042038312749216,0.002594212474245003,-0.1151390764441764,4.384860923555824,0.013163073113298198
3,2.599999999999909,1,1,4.398255942532084,0.0166042903452936,-0.011026051071271002,2,0.013930725411756575,0.0044632525223461,0.004210175115756994,-0.1156747828796724,4.3843252171203275,0.012141037822947499
3,2.699999999999818,1,1,4.398211780461314,0.0155016852381665,-0.011131211225200999,2,0.01439810153956997,0.0048842700339218,0.005826137757269003,-0.1161863210782554,4.383813678921745,0.010617415204244699
