,Speed_LV,Acc_LV,Speed_FAV,Acc_FAV,Spatial_Gap,Spatial_Headway
count,41522.0,41515.0,41522.0,41515.0,41522.0,41522.0
mean,29.029432604556582,0.007939803232246937,29.00302044095538,0.008115917020499458,40.86668226617296,45.36668226617296
std,5.631324661428299,0.5860210323455967,5.789737352136235,0.6390710331443048,14.778994865773303,14.778994865773303
min,7.519113668273031,-6.034597802497181,7.2667500987437155,-4.569607389313433,9.053849391055664,13.553849391055664
25%,25.637782110183537,-0.19122098519487096,25.319138002916304,-0.2108723767948106,30.78794904203045,35.28794904203045
50%,29.727452925620366,0.0780131278528983,29.81598416556912,0.0736743894037061,39.329485151961094,43.829485151961094
75%,33.148228431689624,0.3067420164237866,33.24269093237361,0.3490116666614185,49.84079868575072,54.34079868575072
max,40.77298721998807,28.49374095050763,40.79631820072822,41.677852636246016,122.41806062234828,126.91806062234828
