Trajectory_ID,Time_Index,ID_LV,Type_LV,Pos_LV,Speed_LV,Acc_LV,ID_FAV,Pos_FAV,Speed_FAV,Acc_FAV,Spatial_Gap,Spatial_Headway,Speed_Diff,leader_x,leader_y,follower_x,follower_y,leader_length,follower_length
1,267.8999999999942,2,0,26.793466942059997,7.519113668273031,,2019,0.0,10.641316684758882,,22.293466942059997,26.793466942059997,-3.1222030164858516,956.8423915177431,100.60220406102816,932.2976537066652,89.74883326113215,4.5,4.5
1,268.0,2,0,27.619774447460944,7.550281072936456,0.3116740466342538,2019,1.0607892175128,10.574467665497115,-0.6684901926176678,22.058985229948146,26.558985229948146,-3.0241865925606595,957.5669467586964,100.95013452797453,933.2438486971307,90.1741354362019,4.5,4.5
1,268.0999999999767,2,0,28.449860590270887,7.5806172615224625,0.3033618858600651,2019,2.114710964285977,10.503967269966427,-0.7050039553068821,21.83514962598491,26.33514962598491,-2.9233500084439648,958.2971929781467,101.3019861295874,934.1846683236087,90.60214627462604,4.5,4.5
1,268.19999999998254,2,0,29.28677940519487,7.605074787056563,0.24457525534100633,2019,3.161490660401734,10.431626652348715,-0.7234061761771216,21.62528874479314,26.12528874479314,-2.826551865292152,959.0343398549925,101.65823609180369,935.1187289218651,91.03100028319699,4.5,4.5
1,268.29999999998836,2,0,30.12908256763833,7.626005219199567,0.2093043214300394,2019,4.201034760199573,10.359255343608064,-0.7237130874065123,21.42804780743876,25.92804780743876,-2.733250124408497,959.7761934892927,102.01550691645855,936.0446468271696,91.45883197295113,4.5,4.5
1,268.3999999999942,2,0,30.97433013454188,7.647573867300059,0.2156864810049175,2019,5.23343053025044,10.288660057409295,-0.7059528619876865,21.24089960429144,25.74089960429144,-2.6410861901092364,960.5197090872023,102.36945742436177,936.9610383756595,91.88377585280283,4.5,4.5
1,268.5,2,0,31.821320972351295,7.673197125462298,0.2562325816223954,2019,6.258917974022851,10.221088818038917,-0.6757123937037868,21.062402998328444,25.562402998328444,-2.547891692576618,961.2628804498854,102.71747660164799,937.8669550873096,92.30438335618807,4.5,4.5
1,268.5999999999767,2,0,32.67321119841535,7.703507427833116,0.3031030237081733,2019,7.277750685967703,10.155565420858132,-0.6552339718078493,20.89546051244765,25.39546051244765,-2.452057993025016,962.0078557615219,103.0638740999954,938.7631892215338,92.72087361604375,4.5,4.5
1,268.69999999998254,2,0,33.534117113051806,7.738458121009653,0.34950693176536873,2019,8.29005687106881,10.090558281164007,-0.650071396941243,20.744060241983,25.244060241983,-2.3521001601543547,962.7578218000607,103.41468973640711,939.6509682205909,93.13388268629174,4.5,4.5
1,268.79999999998836,2,0,34.4067768990362,7.777972761707983,0.3951464069833044,2019,9.295811588453615,10.024536066532107,-0.6602221463190006,20.610965310582586,25.110965310582586,-2.2465633048241243,963.5152612919239,103.7745365072632,940.5315195274832,93.54404662509785,4.5,4.5
1,268.8999999999942,2,0,35.28887805904759,7.82184651430854,0.4387375260055659,2019,10.294836764065229,9.95596744570016,-0.685686208319467,20.494041294982363,24.994041294982363,-2.134120931391621,964.2798407484972,104.14232013140312,941.4060705843458,93.95200148567662,4.5,4.5
1,269.0,2,0,36.177157915247435,7.869840285775482,0.47993771466942725,2019,11.286813361028257,9.8835644935604,-0.7240295213976111,20.390344554219176,24.890344554219176,-2.013724207784917,965.0505226297635,104.51551951199455,942.2754932803873,94.35816419467157,4.5,4.5
1,269.0999999999767,2,0,37.07008477089415,7.921413624839944,0.5157333906446127,2019,12.271342250762668,9.807013301127832,-0.7655119243256792,20.29874252013148,24.79874252013148,-1.885599676287888,965.8263140567226,104.8918841655312,943.1392372923707,94.76207514980794,4.5,4.5
1,269.19999999998254,2,0,37.96712472376332,7.974842857077188,0.5342923223724405,2019,13.248005075920945,9.726243202037724,-0.807700990901079,20.219119647842373,24.719119647842373,-1.751400344960536,966.6064007949401,105.27024605544466,943.9963967426445,95.16305561799598,4.5,4.5
1,269.29999999998836,2,0,38.86788698238175,8.028107257177371,0.5326440010018363,2019,14.216376404215257,9.641183363848512,-0.8505983818921159,20.151510578166487,24.651510578166487,-1.6130761066711408,967.3900132712465,105.64970776556581,944.8460657539299,95.56042686685329,4.5,4.5
1,269.3999999999942,2,0,39.77233063973274,8.079647788280205,0.5154053110283385,2019,15.176023725852692,9.5517630689002,-0.8942029494831161,20.09630691388005,24.59630691388005,-1.4721152806199953,968.1766184953098,106.02971623855673,945.6873384486996,95.95351016329012,4.5,4.5
1,269.5,2,0,40.68159292929968,8.129760462956519,0.5011267467631342,2019,16.12652368013616,9.45823601676915,-0.9352705213104962,20.055069249163527,24.555069249163527,-1.3284755538126323,968.9666298054165,106.41109589413644,946.5195473422574,96.34173055195305,4.5,4.5
1,269.5999999999767,2,0,41.5962164309798,8.179208404692904,0.4944794173638556,2019,17.067543095078108,9.362152282069845,-0.9608373469930598,20.028673335901694,24.528673335901694,-1.1829438773769407,969.7606971213277,106.79501551085524,947.3429785160199,96.72492818843381,4.5,4.5
1,269.69999999998254,2,0,42.51637431343788,8.228743427435111,0.4953502274220689,2019,17.998920009931375,9.26538601499546,-0.9676626707438452,20.017454303506504,24.517454303506504,-1.0366425875603493,970.5593458514926,107.18223128994953,948.1581564439869,97.10304700393846,4.5,4.5
1,269.79999999998836,2,0,43.441300338311166,8.279046394584366,0.503029671492552,2019,18.920679860479023,9.16981099595752,-0.9557501903794119,20.020620477832143,24.520620477832143,-0.8907646013731529,971.3626033555233,107.57184910288787,948.9656056002818,97.47603093533164,4.5,4.5
