timestamp,distance_gt_m,distance_pred_m,angle_left_gt_deg,angle_left_pred_deg,angle_right_gt_deg,angle_right_pred_deg,angle_top_gt_deg,angle_top_pred_deg,angle_bottom_gt_deg,angle_bottom_pred_deg,ang_speed_left_gt_dps,ang_speed_left_pred_dps,ang_speed_right_gt_dps,ang_speed_right_pred_dps,ang_speed_top_gt_dps,ang_speed_top_pred_dps,ang_speed_bottom_gt_dps,ang_speed_bottom_pred_dps,orientation_gt,orientation_pred,object_id_pred,object_track_id_gt,object_type
55287.09999998687,13.06830860403754,13.06830860403754,7.54444549946793,7.54444549946793,16.296050837099596,16.296050837099596,15.204892738971164,15.204892738971164,8.635603597596361,8.635603597596361,-0.21972892951144038,-0.21972892951144038,-0.460558425114743,-0.460558425114743,-0.4306847000070828,-0.4306847000070828,-0.24960265461910053,-0.24960265461910053,preceding,preceding,1,1,vehicle
55287.199999986864,13.104510041764074,13.104510041764074,7.522472606518704,7.522472606518704,16.249994994592143,16.249994994592143,15.161824268974216,15.161824268974216,8.61064333213663,8.61064333213663,0.004385814910044417,0.004385814910044417,-0.18156292811333685,-0.18156292811333685,-0.15849662668152575,-0.15849662668152575,-0.018680486521773787,-0.018680486521773787,preceding,preceding,1,1,vehicle
55287.29999998686,13.124296071652351,13.124296071652351,7.545322662453156,7.545322662453156,16.259738251482837,16.259738251482837,15.173193413640437,15.173193413640437,8.631867500295556,8.631867500295556,0.28531003833303004,0.28531003833303004,0.09136760625045781,0.09136760625045781,0.1154265501101861,0.1154265501101861,0.2612510944732733,0.2612510944732733,preceding,preceding,1,1,vehicle
55287.39999998687,13.163237898531012,13.163237898531012,7.579534614187382,7.579534614187382,16.268268515842543,16.268268515842543,15.184909578996784,15.184909578996784,8.66289355103314,8.66289355103314,-0.16032535391518365,-0.16032535391518365,-0.4614583144631865,-0.4614583144631865,-0.4241006123886706,-0.4241006123886706,-0.1976830559896996,-0.1976830559896996,preceding,preceding,1,1,vehicle
55287.49999998687,13.215983091676753,13.215983091676753,7.51325759167673,7.51325759167673,16.16744658859614,16.16744658859614,15.088373291168725,15.088373291168725,8.592330889104144,8.592330889104144,-0.048353055013613755,-0.048353055013613755,-0.41169367246415334,-0.41169367246415334,-0.36661615155693994,-0.36661615155693994,-0.09343057592082715,-0.09343057592082715,preceding,preceding,1,1,vehicle
55287.59999998687,13.274681862092837,13.274681862092837,7.569864003193389,7.569864003193389,16.185929781356595,16.185929781356595,15.111586348692509,15.111586348692509,8.644207435857474,8.644207435857474,0.3434660143205477,0.3434660143205477,-0.08898471602338986,-0.08898471602338986,-0.035329241900626585,-0.035329241900626585,0.2898105401977915,0.2898105401977915,preceding,preceding,1,1,vehicle
55287.699999986864,13.349903347440192,13.349903347440192,7.581950794546319,7.581950794546319,16.149649645399688,16.149649645399688,15.081307442796485,15.081307442796485,8.650292997149522,8.650292997149522,0.12003361183392514,0.12003361183392514,-0.3608025056650348,-0.3608025056650348,-0.3011392716515928,-0.3011392716515928,0.06037037782049026,0.06037037782049026,preceding,preceding,1,1,vehicle
55287.79999998686,13.425081126219764,13.425081126219764,7.593870725558939,7.593870725558939,16.11376928022729,16.11376928022729,15.051358494365282,15.051358494365282,8.65628151142095,8.65628151142095,0.04354395370598496,0.04354395370598496,-0.5109633428811691,-0.5109633428811691,-0.44215222118948816,-0.44215222118948816,-0.025267167985703054,-0.025267167985703054,preceding,preceding,1,1,vehicle
55287.89999998687,13.5256223375432,13.5256223375432,7.590659585286607,7.590659585286607,16.047456976819007,16.047456976819007,14.992876998554578,14.992876998554578,8.645239563551034,8.645239563551034,0.17507038777180384,0.17507038777180384,-0.5263704672554894,-0.5263704672554894,-0.43931645287469223,-0.43931645287469223,0.08801637339101376,0.08801637339101376,preceding,preceding,1,1,vehicle
55287.99999998687,13.650662194472263,13.650662194472263,7.62888480311105,7.62888480311105,16.008495186771906,16.008495186771906,14.963495203786305,14.963495203786305,8.67388478609665,8.67388478609665,0.4649806071225626,0.4649806071225626,-0.38070531701140453,-0.38070531701140453,-0.2757356322504876,-0.2757356322504876,0.360010922361667,0.360010922361667,preceding,preceding,1,1,vehicle
55288.09999998687,13.802652255732285,13.802652255732285,7.683655706714354,7.683655706714354,15.971315913415193,15.971315913415193,14.937729872103539,14.937729872103539,8.717241748026009,8.717241748026009,0.382645246962781,0.382645246962781,-0.521699003095776,-0.521699003095776,-0.4094327800958837,-0.4094327800958837,0.2703790239628958,0.2703790239628958,preceding,preceding,1,1,vehicle
55288.199999986864,13.95286808278634,13.95286808278634,7.705413852507298,7.705413852507298,15.904155386158632,15.904155386158632,14.881608647772739,14.881608647772739,8.727960590893192,8.727960590893192,0.11236998513208363,0.11236998513208363,-0.8718979557116313,-0.8718979557116313,-0.749689655515084,-0.749689655515084,-0.009838315064470748,-0.009838315064470748,preceding,preceding,1,1,vehicle
55288.299999986855,14.139638027897833,14.139638027897833,7.706129703738808,7.706129703738808,15.796936322288092,15.796936322288092,14.787791941013614,14.787791941013614,8.715274085013286,8.715274085013286,0.05788463387436593,0.05788463387436593,-1.0600108101674266,-1.0600108101674266,-0.9211878400339799,-0.9211878400339799,-0.08093833625910918,-0.08093833625910918,preceding,preceding,1,1,vehicle
55288.39999998685,14.345348548160429,14.345348548160429,7.71699077928116,7.71699077928116,15.692153224143654,15.692153224143654,14.69737107978203,14.69737107978203,8.711772923642783,8.711772923642783,0.391090537705189,0.391090537705189,-0.7774777310025627,-0.7774777310025627,-0.6323355670153319,-0.6323355670153319,0.24594837371794398,0.24594837371794398,preceding,preceding,1,1,vehicle
55288.499999986845,14.561610326582876,14.561610326582876,7.784347811279972,7.784347811279972,15.641440776099433,15.641440776099433,14.661324827620946,14.661324827620946,8.764463759758458,8.764463759758458,0.2839080201397124,0.2839080201397124,-0.9465115622520983,-0.9465115622520983,-0.793657486338418,-0.793657486338418,0.1310539442260108,0.1310539442260108,preceding,preceding,1,1,vehicle
55288.59999998684,14.803541350542966,14.803541350542966,7.773772383308277,7.773772383308277,15.502850911695987,15.502850911695987,14.538639582516659,14.538639582516659,8.737983712487605,8.737983712487605,0.12185742595661253,0.12185742595661253,-1.2104182173547002,-1.2104182173547002,-1.0448773713649473,-1.0448773713649473,-0.0436834200331333,-0.0436834200331333,preceding,preceding,1,1,vehicle
55288.69999998684,15.074346729676451,15.074346729676451,7.80871929647094,7.80871929647094,15.399357132632016,15.399357132632016,14.452349353350998,14.452349353350998,8.755727075751958,8.755727075751958,0.3903264077011883,0.3903264077011883,-1.0158607761923264,-1.0158607761923264,-0.8410996617487996,-0.8410996617487996,0.2155652932576544,0.2155652932576544,preceding,preceding,1,1,vehicle
55288.79999998685,15.364204940693854,15.364204940693854,7.851837664850813,7.851837664850813,15.299678756453364,15.299678756453364,14.370419650163544,14.370419650163544,8.781096771140632,8.781096771140632,0.4330847718377058,0.4330847718377058,-0.9602895942781373,-0.9602895942781373,-0.7870849122780612,-0.7870849122780612,0.259880089837651,0.259880089837651,preceding,preceding,1,1,vehicle
55288.89999998685,15.650516088384236,15.650516088384236,7.895336250840344,7.895336250840344,15.207299213771666,15.207299213771666,14.294932370891479,14.294932370891479,8.807703093720532,8.807703093720532,0.5347573713064904,0.5347573713064904,-0.9110294540988804,-0.9110294540988804,-0.731270112630142,-0.731270112630142,0.3549980298377591,0.3549980298377591,preceding,preceding,1,1,vehicle
55288.999999986845,15.986521242991245,15.986521242991245,7.9587891391105545,7.9587891391105545,15.117472865636241,15.117472865636241,14.224165627639644,14.224165627639644,8.85209637710715,8.85209637710715,0.46775737885020163,0.46775737885020163,-1.0459039652223794,-1.0459039652223794,-0.8576665218252941,-0.8576665218252941,0.2795199354531235,0.2795199354531235,preceding,preceding,1,1,vehicle
55289.09999998684,16.32827010235526,16.32827010235526,7.988887726609024,7.988887726609024,14.998118420730234,14.998118420730234,14.123399066528915,14.123399066528915,8.863607080810343,8.863607080810343,0.2764751540947543,0.2764751540947543,-1.2023352556016675,-1.2023352556016675,-1.0183925812000751,-1.0183925812000751,0.09253247969316192,0.09253247969316192,preceding,preceding,1,1,vehicle
55289.19999998684,16.67722942587035,16.67722942587035,8.0140841699287,8.0140841699287,14.877005814519407,14.877005814519407,14.020487111402595,14.020487111402595,8.870602873045513,8.870602873045513,0.40006221147118026,0.40006221147118026,-1.0881842356847784,-1.0881842356847784,-0.9030290355655097,-0.9030290355655097,0.2149070113519258,0.2149070113519258,preceding,preceding,1,1,vehicle
55289.29999998683,17.05417704257636,17.05417704257636,8.068900168897029,8.068900168897029,14.780481573602577,14.780481573602577,13.942793259423176,13.942793259423176,8.90658848307643,8.90658848307643,0.5188516461797548,0.5188516461797548,-0.9756760516221306,-0.9756760516221306,-0.7897021218347504,-0.7897021218347504,0.3328777163923675,0.3328777163923675,preceding,preceding,1,1,vehicle
55289.39999998684,17.438439635404965,17.438439635404965,8.117854499162288,8.117854499162288,14.681870604197517,14.681870604197517,13.862546687037572,13.862546687037572,8.937178416322233,8.937178416322233,0.26853660310958816,0.26853660310958816,-1.2376329421510945,-1.2376329421510945,-1.050172220458549,-1.050172220458549,0.0810758814170427,0.0810758814170427,preceding,preceding,1,1,vehicle
