Date,30,8,2018,,,,,,,,,,,,,,,,,,,,,,
Vehicle_order,VW(Polo),Hyundai(Ioniqhybrid),,,,,,,,,,,,,,,,,,,,,,,
Number_of_vehicles,2,,,,,,,,,,,,,,,,,,,,,,,,
ACC,2
Distance_setting,min
Time,Speed1,Lat1,Lon1,Alt1,E1,N1,U1,VE1,VN1,VU1,Speed2,Lat2,Lon2,Alt2,E2,N2,U2,VE2,VN2,VU2,IVS1,Driver1,Driver2
33636.599999999984,31.262781554473754,0.7969559780878641,0.14846581758704638,331.93373929544344,-2073.790836937771,3218.1094351916063,68.21398560363512,-29.654936752322048,-9.852158889511752,-0.9387235771717508,30.67074555280449,0.7969581096755977,0.14847357406547998,339.30807812497414,-2039.1523445665107,3231.676693015795,75.59260408537124,-29.12680095045022,-9.585865692650119,-0.6597560762902251,33.13474782342247,Human,ACC
33636.70000000001,31.286347391461767,0.7969558243144521,0.1484651510683895,331.82477694336006,-2076.767454086076,3217.1310700692125,68.10455074428727,-29.68012337097269,-9.850971976922137,-0.9402982999890483,30.679366674871417,0.796957957254269,0.1484729254484742,339.2050004251752,-2042.049013500748,3230.706897540114,75.48909330298505,-29.14799988363991,-9.554000107131339,-0.5820002641520059,33.21232088757009,Human,ACC
33636.79999999999,31.31223010698467,0.7969556708729537,0.1484644832909656,331.7150004752272,-2079.7496920988124,3216.154821636802,67.99429733064295,-29.708999877633318,-9.846000028420482,-0.9419999914460792,30.704960922048613,0.7969578052281777,0.1484722764799168,339.1085601523103,-2044.947254385364,3229.739624376205,75.39221670573771,-29.181703324561553,-9.535784183691694,-0.5400336136392301,33.293825163763145,Human,ACC
33636.900000000016,31.334163676838163,0.7969555177772266,0.14846381457897484,331.6005619404375,-2082.7361019917607,3215.180775730468,67.87937783329231,-29.735292594054545,-9.836177649527881,-0.9443499985583056,30.742357423251306,0.7969576534386534,0.14847162720756685,339.01877243511797,-2047.8468542971445,3228.773862972723,75.30199000198456,-29.22383225503275,-9.527696032721016,-0.5321433798463069,33.377712762916886,Human,ACC
33637.0,31.342198497799988,0.7969553654403282,0.14846314636875468,331.4810005188698,-2085.7202687723548,3214.211560513913,67.75933220345176,-29.750999967660594,-9.814000133523107,-0.9469999888931208,30.783498671113023,0.7969575017233325,0.14847097766103307,338.9350003444123,-2050.747681163203,3227.8085789545985,75.2177768282476,-29.26799981686462,-9.52400001451133,-0.5489998889054399,33.45680366065581,Human,ACC
33637.099999999984,31.331403497489386,0.7969552141756069,0.14846247970294474,331.3583206190935,-2088.6975365173207,3213.2491709916853,67.63616536705739,-29.752322865327226,-9.77521272867723,-0.9493920944075708,30.82152540951927,0.7969573499492378,0.14847032782216635,338.8562214651354,-2053.6498159868784,3226.842924970297,75.1385551711745,-29.3086389297762,-9.520186095274074,-0.5798011426332824,33.52565946870416,Human,ACC
33637.20000000001,31.32052270833961,0.7969550634983628,0.1484618129372074,331.24100047334184,-2091.6752518054113,3212.290527106925,67.5183547076659,-29.75399996464241,-9.73500014566591,-0.950999995563332,30.85408880801813,0.7969571981009403,0.1484696774817824,338.7798714190692,-2056.554192087283,3225.8768017719303,75.06176039823272,-29.343461666958927,-9.516646727452157,-0.6078557704381301,33.59134583049253,Human,ACC
33637.29999999999,31.328613083668646,0.7969549128553158,0.1484611442797959,331.13630476812284,-2094.661419221044,3211.3321116619627,67.41316406805718,-29.770955836829266,-9.709113458022564,-0.9514736817277072,30.879913944395238,0.7969570461923986,0.1484690263829377,338.7030003322865,-2059.461955865192,3224.910297139913,74.98444221717372,-29.370999900432693,-9.515000000685015,-0.6150000398394119,33.6615673932681,Human,ACC
33637.400000000016,31.352490763764173,0.7969547622169321,0.14846047403636473,331.0401699562072,-2097.6546725965163,3210.373734064511,67.31653044314949,-29.800320353316245,-9.696129261093855,-0.9511368375805912,30.898617367733625,0.7969568942529991,0.14846837434858887,338.62355603587565,-2062.373897185076,3223.9435974474372,74.90454810611477,-29.39077710961557,-9.516249322152763,-0.5897244857849965,33.73445377854287,Human,ACC
33637.5,31.383430319161825,0.7969546116846152,0.14845980303692544,330.94570039579065,-2100.651303046201,3209.416035384241,67.22155907975872,-29.83477465381119,-9.690330475886608,-0.9504815737793731,30.91341229780313,0.7969567423738435,0.14846772152129714,338.5430772268092,-2065.2893797479965,3222.977283443835,74.823616670464,-29.4062832541365,-9.518939337821056,-0.5471370526110195,33.80711801637098,Human,ACC
33637.599999999984,31.412716822476238,0.7969544613597689,0.14845913211148956,330.84600044506834,-2103.6476016844695,3208.4596566908185,67.12135522470078,-29.86699987802196,-9.686000023407649,-0.9500000009814428,30.92834624909048,0.7969565906614624,0.14846706812352606,338.4640003299872,-2068.207410709611,3222.0120344737325,74.74408430890941,-29.421999926331647,-9.520999995507543,-0.509000121920394,33.877037304692195,Human,ACC
33637.70000000001,31.433420956940388,0.7969543112938497,0.1484584619186078,330.73589345565904,-2106.640625952338,3207.5049220891883,67.01074302812454,-29.89109538948369,-9.678826749366165,-0.9500959050328976,30.945939593303102,0.796956439195927,0.14846641429981966,338.3880749225004,-2071.1273450078634,3221.0483611418995,74.66770054483536,-29.440992838397626,-9.520372160326007,-0.4915607090416851,33.94212893073893,Human,ACC
33637.79999999999,31.44573156167933,0.7969541613385226,0.14845779243097834,330.61707884063287,-2109.630498636509,3206.5508878091887,66.89142234126588,-29.906833519445314,-9.670123270057617,-0.9508197680254182,30.962975437848648,0.7969562879514676,0.14846575988303992,338.3143031551354,-2074.049928727596,3220.0860990850592,74.59346736534489,-29.460664109687663,-9.515040367132036,-0.4890040826295184,34.002082422489764,Human,ACC
33637.900000000016,31.451613679695285,0.7969540112955033,0.1484571234498345,330.4929750503632,-2112.6181088698927,3205.596293107839,66.76681196257158,-29.915404859185628,-9.662608162368473,-0.952133744984752,30.9748387559816,0.7969561368758546,0.14846510462812748,338.2410003133368,-2076.9762557448134,3219.124915195765,74.51969986470385,-29.476999943272638,-9.503000068356043,-0.4900000042749973,34.057028601983404,Human,ACC
33638.0,31.453030395229764,0.7969538609665079,0.1484564547764092,330.36700053522367,-2115.604345785396,3204.639877242158,66.64033069048838,-29.917999999983433,-9.659000003185195,-0.9539999909366462,30.97879975676447,0.796955985942628,0.14846444839251866,338.1666276868104,-2079.906962233141,3218.1646403989225,74.44485920785891,-29.48758442054393,-9.483225131905876,-0.4866626229682677,34.10758263149276,Human,ACC
33638.099999999984,31.451761626219465,0.7969537104173031,0.14845578603084136,330.24343465474516,-2118.590906913397,3203.6820617686003,66.51625711520809,-29.916806517978173,-9.658345052001653,-0.9562259225021876,30.97963038003772,0.7969558352284054,0.14846379144363814,338.0902305897631,-2082.8408535332987,3217.2057617572063,74.3679908499398,-29.49639321777369,-9.458603137564054,-0.48488381319042,34.15646431173275,Human,ACC
33638.20000000001,31.448855526368746,0.7969535607698691,0.1484551161088833,330.13000044905306,-2121.582723415423,3202.729997527261,66.40230903780946,-29.917999979664952,-9.645000111206834,-0.9579999947817806,30.983973337954374,0.7969556848355749,0.14846313415140908,338.01100034439185,-2085.7762772719425,3216.2489303698226,74.28828632048688,-29.50899993035436,-9.433000105573107,-0.4939999247695367,34.207530417609355,Human,ACC
33638.29999999999,31.444524659138835,0.7969534129208411,0.14845444430155386,330.03029911174104,-2124.5829605110457,3201.7893975843403,66.30208372166842,-29.925598226621556,-9.607152316529321,-0.9588149899854432,30.996985927247824,0.7969555348545482,0.14846247674761395,337.92841628647943,-2088.712198060192,3215.294721416338,74.20522499948297,-29.529632103820987,-9.409690767746554,-0.5212331938487916,34.26291037601645,Human,ACC
33638.400000000016,31.436242349231662,0.7969532658092192,0.14845377220536216,329.9280004712269,-2127.5844858480746,3200.853494381527,66.19925677018855,-29.930999998361955,-9.56300016489342,-0.9599999916310021,31.01786633916309,0.7969553853278308,0.1484618189114659,337.84310982086623,-2091.6500484785447,3214.343406393868,74.11943768338256,-29.557133015531093,-9.389584671982336,-0.5653492938553656,34.3170889216249,Human,ACC
33638.5,31.422228740248407,0.7969531182580971,0.14845310145014884,329.8079543450748,-2130.5800188778653,3199.9147827558504,66.0786841966642,-29.92597229593627,-9.53234863821839,-0.9627931173434092,31.044325914271976,0.7969552362859513,0.14846116018403396,337.7560003733338,-2094.5918781077194,3213.3951808779493,74.03184302643345,-29.588999858610524,-9.373000062649544,-0.6229997305430056,34.36403265184849,Human,ACC
33638.599999999984,31.40684830679843,0.7969529705846199,0.14845243149353168,329.67966244191337,-2133.571984093136,3198.9752880312512,65.94986588299999,-29.91637460969248,-9.511416612810272,-0.9662322683244908,31.073959085948825,0.7969550877169338,0.14846050023324864,337.6675241154661,-2097.5391699619213,3212.4499693212165,73.94287675040465,-29.622923600577888,-9.359456765076354,-0.6884037276290645,34.403867819903176,Human,ACC
33638.70000000001,31.396048582082308,0.7969528234794505,0.14845176125006607,329.5587895218397,-2136.565232277927,3198.0394181838287,65.82846275693022,-29.91158959729425,-9.490526363271595,-0.968805284645958,31.103866020665716,0.7969549394387808,0.14845983923449316,337.57618417736813,-2100.4911407603518,3211.506611670845,73.85104282248119,-29.65737031642109,-9.345280887643248,-0.7460512564418172,34.43991356188208,Human,ACC
33638.79999999999,31.395808639317497,0.7969526776332518,0.1484510896343071,329.4610003449512,-2139.5646142162823,3197.1115811896802,65.73013574618926,-29.920999916405247,-9.460000164204908,-0.9690000063795219,31.13093372322176,0.7969547912269899,0.14845917749001553,337.48000042260486,-2103.4464406412303,3210.5636767441856,73.75436226503484,-29.69099986046996,-9.326000099297637,-0.7779999441509977,34.475942571763795,Human,ACC
33638.900000000016,31.40752481244486,0.7969525333833768,0.1484504163159697,329.3922932473768,-2142.5716060613418,3196.1939289789675,65.66088161701686,-29.94737111619615,-9.41561914488909,-0.9662785269051114,31.15286087411071,0.7969546429097705,0.1484585152559631,337.37819327917674,-2106.4039258886123,3209.620069735537,73.65205642850209,-29.722598600569402,-9.299075205372764,-0.7714100050875055,34.513299432364825,Human,ACC
33639.0,31.414025703719826,0.7969523896539208,0.1484497439854458,329.32000037553473,-2145.5741852702467,3195.2795891828528,65.58803999595142,-29.966999973810676,-9.375000132190516,-0.9640000026082064,31.17074239408432,0.7969544945261903,0.14845785260407862,337.27478549416344,-2109.363277380438,3208.6760413641805,73.54814803690104,-29.751458965087995,-9.269699655505331,-0.733852262908009,34.54351671869037,Human,ACC
33639.099999999984,31.399808165555854,0.7969522454700592,0.14844907496245185,329.2157472661296,-2148.5619857746697,3194.362335883054,65.48324301972518,-29.958847356143323,-9.353300085318633,-0.9649846832935276,31.18652648048209,0.7969543461680308,0.14845718956000306,337.1750004097479,-2112.32438214575,3207.732178734935,73.44786017297574,-29.77699989914111,-9.24500008509824,-0.6780002587717276,34.55933643414225,Human,ACC
33639.20000000001,31.375156405771545,0.7969521016745911,0.14844840706322954,329.1070004138582,-2151.544766529904,3193.4475535261267,65.37395121240498,-29.93900007340945,-9.334000111767738,-0.9660000023477036,31.20151691286757,0.7969541979526483,0.14845652614227714,337.08303861876414,-2115.2871585275207,3206.789231312691,73.35539307794471,-29.798718287234568,-9.22990968324452,-0.6162899813743327,34.568369468324214,Human,ACC
33639.29999999999,31.35425289346713,0.7969519592501523,0.14844773763806288,329.0254897386704,-2154.5343683441088,3192.5415199603526,65.29188737634801,-29.9281385749854,-9.29878654390636,-0.9634649733274944,31.214614165953627,0.7969540500996941,0.1484558623410405,336.9990096643923,-2118.2516501260347,3205.8485980109112,73.27085557466141,-29.816422775418424,-9.220587741723492,-0.5602071974195559,34.58000842953652,Human,ACC
33639.400000000016,31.34085008829554,0.796951817921065,0.1484470666769708,328.9641566947027,-2157.5308340054994,3191.642476025172,65.22999383116698,-29.928191209768528,-9.253843182897883,-0.9584578837292516,31.22407500830866,0.7969539028543949,0.14845519813933228,336.922000314335,-2121.2179318563067,3204.911840107269,73.19333361832234,-29.82999995112434,-9.21100004996716,-0.5210001150786697,34.59538752864536,Human,ACC
33639.5,31.33604798954801,0.7969516770970693,0.14844639482991456,328.90624549575324,-2160.531256759623,3190.7466532821354,65.1715176519284,-29.93639824164465,-9.211478275346273,-0.9532218544153612,31.2294018736714,0.7969537563716094,0.14845453353005209,336.85083966131964,-2124.186034710056,3203.9799432340624,73.12165579355968,-29.84030552013379,-9.196434598236351,-0.5072460277862971,34.61338894015904,Human,ACC
33639.599999999984,31.340881502197107,0.7969515361879047,0.1484457227468555,328.83500035562014,-2163.5327298520274,3189.850283292801,65.09970591369878,-29.949999934499502,-9.184000067855473,-0.95000000624821,31.23522420043961,0.7969536104447219,0.14845386854554132,336.7833260850038,-2127.155813983588,3203.051590412625,73.05362118959388,-29.85207171115805,-9.177468247683553,-0.5168384335227332,34.6322495440225,Human,ACC
33639.70000000001,31.354883764193765,0.7969513948147522,0.14844505087410098,328.739854864983,-2166.5332575650377,3188.950947585023,65.00399408651174,-29.966567995091825,-9.177724757578458,-0.9502140473446252,31.24749585718101,0.7969534647767474,0.1484532032280022,336.71700028348596,-2130.1270810487895,3202.1248890041998,72.98677151850404,-29.870999896023694,-9.15600009407844,-0.5449998472773221,34.650436058192675,Human,ACC
33639.79999999999,31.37175719968229,0.796951253444566,0.1484443788433332,328.63500043838144,-2169.534488374648,3188.051627620853,64.89857153655207,-29.984999918611802,-9.175000037616726,-0.9519999928576296,31.269676697275273,0.7969533191480326,0.14845253758729554,336.64975272218015,-2133.099791644879,3201.198439082011,72.9189979632869,-29.900281459758762,-9.133611618462314,-0.5856519294059412,34.66803900170315,Human,ACC
33639.900000000016,31.385172153971983,0.7969511126332298,0.14844370622940345,328.5373570194125,-2172.5383252644297,3187.1558726543,64.80035579002134,-30.004353250694514,-9.157478340745527,-0.9531041814891676,31.295136991683826,0.7969531736482564,0.14845187150391592,336.5808729536438,-2136.074478987773,3200.27281159241,72.84958960847352,-29.933067711896967,-9.110613826727693,-0.6275128552361583,34.68533768521745,Human,ACC
33640.0,31.394412242093225,0.7969509724465514,0.14844303319448388,328.45000035079374,-2175.544044974464,3186.2641030640198,64.71242262386987,-30.022999924621768,-9.128000139496367,-0.9530000031524704,31.314663169277143,0.7969530284444319,0.14845120482601565,336.5100003066902,-2139.0518206644088,3199.3490702063245,72.7781850184445,-29.959999911022948,-9.087000101921037,-0.6579999122146405,34.701238748853534,Human,ACC
