Date,24,9,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle_order,Fiat(500X),Hyundai(Ioniqhybrid),Volvo(XC40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_vehicles,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,2
Distance_setting,min
Time,Speed1,Lat1,Lon1,E1,N1,Speed2,Lat2,Lon2,E2,N2,Speed3,Lat3,Lon3,E3,N3,IVS1,IVS2,Driver1,Driver2,Driver3
60220.7,31.9607966268984,0.7939946407304779,0.14732195332123174,15355.013709080666,55221.83227705146,32.77200000004228,0.793989138233342,0.14732395250984806,15364.599233308729,55188.78556146936,32.93333009534794,0.7939825213618729,0.14732626966820642,15375.080943211435,55146.67619290116,30.21483150429087,38.885298746458716,Human,ACC,ACC
60220.8,31.95986111000646,0.7939951259999969,0.14732177300000118,15354.199230005268,55224.92090998,32.76332704247493,0.7939896326494662,0.1473237730472572,15363.787878694024,55191.932504154734,32.937454724067514,0.7939830223028628,0.14732609024202953,15374.269528120456,55149.86428306662,30.159705805469237,38.845356185013316,Human,ACC,ACC
60220.9,31.958702807743432,0.7939956112527421,0.14732159341205053,15353.387526328037,55228.00969059337,32.750826014171636,0.7939901270993509,0.1473235936218685,15362.976699963045,55195.07969483033,32.941586235181106,0.7939835233322812,0.1473259106839694,15373.457517594165,55153.05292001063,30.10376774012948,38.80493932630213,Human,ACC,ACC
60221.0,31.957866715119554,0.7939960968041601,0.1473214142374935,15352.57723278837,55231.10041017667,32.735411978823066,0.7939906214807421,0.14732341430788898,15362.166024685475,55198.226460138845,32.945999999969914,0.7939840244186339,0.14732573100035584,15372.644943729862,55156.241914947714,30.04985377166512,38.763506043040316,Human,ACC,ACC
60221.1,31.958317779990832,0.7939965829999969,0.14732123500000116,15351.766370005256,55234.194999979954,32.71800000011989,0.7939911156913847,0.1473232351795255,15361.356180431008,55201.37212672305,32.95084254384857,0.7939845255362239,0.1473255512057148,15371.831874692243,55159.43111411787,30.00110890230732,38.720488877417885,Human,ACC,ACC
60221.2,31.96070712534965,0.7939970700431478,0.1473210553655244,15350.953591272488,55237.294560059265,32.69956115626862,0.7939916096668469,0.14732305628419912,15360.547375661221,55204.51626701595,32.955745008755606,0.7939850266825444,0.1473253713473565,15371.018522915525,55162.62050386317,29.959436045748767,38.675486739745324,Human,ACC,ACC
60221.3,31.96443057470919,0.7939975575651043,0.1473208755691327,15350.140080583042,55240.396865694864,32.68129058354373,0.7939921034939867,0.14732287756218698,15359.739342405172,55207.659436611866,32.96020969075794,0.7939855278608855,0.14732519148078735,15370.205136901292,55165.810105551136,29.92176014826716,38.629142805011895,Human,ACC,ACC
60221.4,31.96857012670681,0.7939980450545071,0.14732069598817524,15349.32765460471,55243.498860972926,32.66443943273775,0.7939925972974846,0.14732269892698033,15358.9316935838,55210.80243689541,32.963738885922574,0.7939860290745373,0.14732501166151366,15369.391965151144,55168.999940549314,29.88375978800391,38.582367836582286,Human,ACC,ACC
60221.5,31.972207779979826,0.7939985319999968,0.14732051700000115,15348.518130005288,55246.59748997973,32.65025885464325,0.7939930912020209,0.1473225202920704,15358.124042118025,55213.94606925119,32.96583489031642,0.7939865303267903,0.1473248319450418,15368.579256166675,55172.19003022523,29.841111621816484,38.536072841623,Human,ACC,ACC
60221.6,31.97479658458785,0.7939990180602822,0.14732033886442647,15347.712756284649,55249.690725003966,32.640000000052765,0.7939935853322762,0.14732234157094856,15357.316000928797,55217.091135063805,32.966000000006474,0.7939870316209349,0.14732465238687814,15367.767258449476,55175.380395946486,29.790637293370754,38.491169086605176,Human,ACC,ACC
60221.7,31.977273796308733,0.7939995035743443,0.14732016137113466,15346.910514270958,55252.780651144436,32.634367444908804,0.7939940797568136,0.14732216272561272,15356.507400389011,55220.23807645752,32.96392831453289,0.793987532952731,0.14732447302305385,15366.9561332558,55178.571010429405,29.73415041254581,38.448192761083774,Human,ACC,ACC
60221.8,31.980947722357183,0.7939999890512329,0.14731998419227613,15346.109817624436,55255.87038170251,32.631879465709964,0.7939945743197273,0.1473219839120881,15355.698940679531,55223.38589851512,32.96008114734414,0.7939880342878172,0.1473242938116986,15366.14569286057,55181.761651785775,29.676236623291263,38.406178514333575,Human,ACC,ACC
60221.9,31.987126669947905,0.7940004749999969,0.14731980700000116,15345.309080005305,55258.963029979495,32.6305077640828,0.7939950688089945,0.14732180533490655,15354.891539433163,55226.533247058964,32.95511161536964,0.7939885355843023,0.14732411469146695,15365.335662293335,55184.95204947621,29.621889001464282,38.363785012572826,Human,ACC,ACC
60222.0,31.99643087443037,0.7940009617782043,0.1473196295517767,15344.507120651882,55262.06078042796,32.628224041653915,0.793995563012592,0.1473216271986002,15354.086114282762,55229.67876791152,32.949672835538784,0.7939890368002949,0.14732393560101342,15364.525766583682,55188.141932961276,29.575096132336203,38.31967027877563,Human,ACC,ACC
60222.1,32.00672828363842,0.7940014491374988,0.14731945194633558,15343.704381114872,55265.16210210514,32.62300000004988,0.7939960567184969,0.14732144970770075,15353.283582861144,55232.82110689512,32.944417924780964,0.7939895378939034,0.14732375647899262,15363.715730761158,55191.331031701615,29.535824744137937,38.27249190211241,Human,ACC,ACC
60222.2,32.015198773513276,0.7940019366780423,0.14731927436772727,15342.901708523095,55268.26453521943,32.61325706440062,0.7939965497868159,0.14732127300845366,15352.484600794409,55235.95936913986,32.94000000002559,0.7939900388232362,0.14732357726405895,15362.905279855344,55194.51907515781,29.502521774688876,38.22141677084085,Human,ACC,ACC
60222.3,32.01902221999625,0.7940024239999969,0.14731909700000118,15342.099950005362,55271.365619979246,32.59921555388592,0.7939970423661762,0.147321097013957,15351.688775681641,55239.09449700648,32.93687758413485,0.7939905395630884,0.1473233979010341,15362.094166356344,55197.70589946883,29.47157523306817,38.16755282736786,Human,ACC,ACC
60222.4,32.01629678400251,0.7940029108112562,0.14731891997534882,15341.299716921023,55274.463559723255,32.58154551120717,0.7939975346773344,0.14732092157902266,15350.895453115192,55242.22789216337,32.93473082368633,0.7939910401550017,0.14732321835940804,15361.282252596417,55200.891767487235,29.43956086024136,38.11213098809176,Human,ACC,ACC
60222.5,32.00879376641685,0.7940033972506412,0.14731874321853006,15340.50067755157,55277.55921031124,32.560916979065745,0.7939980269410472,0.14732074655846206,15350.103978687408,55245.360956278935,32.933045271182515,0.7939915406572031,0.14732303861483795,15360.46942836836,55204.077048744,29.405865407983594,38.0562859551213,Human,ACC,ACC
60222.6,31.99920275313486,0.7940038835647039,0.14731856660244685,15339.702264409005,55280.65409073322,32.53800000016304,0.7939985193780714,0.14732057180708702,15349.313697990632,55248.49509102159,32.93130647912587,0.7939920411279211,0.14732285864298095,15359.655583464975,55207.26211277002,29.37057832218795,38.00115279505785,Human,ACC,ACC
60222.7,31.99021333005216,0.7940043699999968,0.1473183900000012,15338.903910005345,55283.74971997928,32.51346698484416,0.7939990121244824,0.14732039722394405,15348.524157432417,55251.63116426832,32.929000000018895,0.7939925416253834,0.14732267841949415,15358.840607679065,55210.44732909629,29.334357870851804,37.947300182286355,Human,ACC,ACC
60222.8,31.98388520576752,0.7940048567580015,0.1473182133124601,15338.105173414873,55286.847339460925,32.48799981402932,0.7939995049776288,0.14732022288501992,15347.735706681167,55254.76790873025,32.9257398132717,0.793993042190823,0.14732249794730404,15358.02451364897,55213.63296094242,29.29983595524923,37.893163604330134,Human,ACC,ACC
60222.9,31.979758579641857,0.7940053438599173,0.14731803655455122,15337.306119960956,55289.94708027557,32.46228273628261,0.7939999976501779,0.1473200489105365,15346.948896220512,55257.90352332709,32.921653605935504,0.7939935427974961,0.1473223173384139,15357.207805395272,55216.818846282804,29.269004585692677,37.837143924676106,Human,ACC,ACC
60223.0,31.97674377371397,0.794005831281873,0.14731785976936732,15336.506941529253,55293.04879594197,32.437000000168055,0.794000489854797,0.14731987542071542,15346.164276534077,55261.03620697856,32.916997491974456,0.7939940434016641,0.14732213673209651,15356.391109784097,55220.004716780495,29.243553312637342,37.77777460149716,Human,ACC,ACC
60223.1,31.97375111002263,0.7940063189999967,0.1473176830000012,15335.707830005404,55296.152339979,32.413103081694125,0.7940009813838859,0.14731970246636986,15345.382083241342,55264.16465562957,32.912027585352696,0.7939945439595885,0.14732195626762462,15355.575053681574,55223.19030409864,29.22460448480976,37.71414684832424,Human,ACC,ACC
60223.2,31.97007836750052,0.7940068069692183,0.14731750632169294,15334.90911570169,55299.257435433115,32.39261236666853,0.7940014723487749,0.14731952982067778,15344.601292505187,55267.28955332613,32.90700000003436,0.7939950444275308,0.14732177608427088,15354.760263953836,55226.37533990023,29.21084661836071,37.6475838411358,Human,ACC,ACC
