Date,24,9,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle_order,Fiat(500X),Hyundai(Ioniqhybrid),Volvo(XC40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_vehicles,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,2
Distance_setting,min
Time,Speed1,Lat1,Lon1,Alt1,E1,N1,U1,VE1,VN1,VU1,Speed2,Lat2,Lon2,Alt2,E2,N2,U2,VE2,VN2,VU2,Speed3,Lat3,Lon3,Alt3,E3,N3,U3,VE3,VN3,VU3,IVS1,IVS2,Driver1,Driver2,Driver3
62065.5,28.815648815667164,0.7977639777834808,0.14941426542475328,351.57040872055717,-4158.867736408336,-2042.3833691199688,33.95018669954377,27.959867038282496,-6.928976011313944,-0.7594361751061564,29.08465908300642,0.7977650585862521,0.14940680574999907,350.2299999803672,-4192.145894446968,-2035.477518711424,32.590241290849754,28.387999995726858,-6.1030000171830645,-1.6710000022691387,28.84371816812996,0.7977662543296461,0.14939939511376846,353.3439280209158,-4225.207614063912,-2027.841058167572,35.684828850475796,28.380610949729434,-5.077768811209111,-0.8469142710569785,29.79315304801736,29.42317991328051,Human,ACC,ACC
62065.60000000001,28.807181551351146,0.7977638682717002,0.14941489186042176,351.4959999883372,-4156.073114792968,-2043.0826385517828,33.87737204886067,27.931999995752424,-7.00600001220584,-0.7569999991836687,29.081031086656324,0.7977649617425405,0.14940744264452105,350.10863562867155,-4189.3045294854,-2036.096142476841,32.47054276048406,28.36092052649629,-6.2084547698142725,-1.6791799558127187,28.85662773308515,0.7977661738516466,0.14940003038184246,353.2599999864726,-4222.373464869273,-2028.3554789942941,35.602610509010155,28.37199999870139,-5.196000018984536,-0.8580000013170717,29.76388641634737,29.45380846120989,Human,ACC,ACC
62065.70000000001,28.8012309364073,0.7977637576487041,0.1494155179856554,351.4253995120034,-4153.27988490985,-2043.7889838164701,33.80836118296036,27.907199390850305,-7.080619174227508,-0.7509711853001001,29.075804824491637,0.7977648640861145,0.14940807864568414,349.98831862298204,-4186.467154218603,-2036.7199383681545,32.351885980710826,28.333053296192197,-6.311505151589091,-1.6749387536647284,28.870756561481446,0.7977660912753707,0.14940066502027202,353.1753318029689,-4219.542133185145,-2028.8832593098066,35.51964460331771,28.364323003497084,-5.3141610219751385,-0.8633988754507249,29.73778815980792,29.48170126226747,Human,ACC,ACC
62065.79999999999,28.79784322002737,0.7977636459727407,0.14941614399361125,351.3580786293669,-4150.487184325962,-2044.5020343658114,33.74262611601066,27.88505446130651,-7.153758090934299,-0.7505044914177152,29.06936922039063,0.7977647650686541,0.14940871393518465,349.86809229599083,-4183.632959661608,-2037.3523986142848,32.23331369970508,28.30465941556874,-6.413052965926847,-1.6574781736923885,28.88576883847879,0.7977660067125443,0.14940129913382227,353.0894780721337,-4216.713150781908,-2029.423687760624,35.435486269328536,28.35718897948505,-5.432037896146967,-0.8662787464939832,29.714106906470647,29.508105996197344,Human,ACC,ACC
62065.9,28.79685912639156,0.7977635333088524,0.14941677007184154,351.29296842656606,-4147.694175234719,-2045.2213761872167,33.67909860685369,27.86463229926101,-7.227267968342091,-0.7667855541133913,29.062144585871767,0.7977646641418403,0.149409348694719,349.7469999803898,-4180.801136829444,-2037.9970154441544,32.11386866564184,28.275999995380072,-6.514000016246875,-1.6259999937629217,28.901324577883855,0.7977659203282229,0.14940193287994996,353.0020584329063,-4213.88581414578,-2029.9757135383359,35.349755943695534,28.35019345306981,-5.549234268756219,-0.8712591808255629,29.692019155109826,29.53416608939814,Human,ACC,ACC
62066.0,28.798186662063287,0.7977634197220819,0.14941739640789858,351.2289999897393,-4144.900019829535,-2045.9465952681,33.61671041433157,27.844999996853808,-7.303000012466768,-0.8110000099640052,29.054973025522624,0.7977645609081686,0.14940998308396794,349.624587548055,-4177.970974649037,-2038.6563207104714,31.993096408144808,28.247712253775298,-6.61492284599728,-1.5814568230791093,28.91708219679883,0.7977658322874629,0.1494025664161117,352.91269252422694,-4211.0594197629825,-2030.538285834536,35.26207406307157,28.34293195065586,-5.665353767059102,-0.8829597448241813,29.67096944925743,29.56074743530517,Human,ACC,ACC
62066.10000000001,28.80173384129705,0.7977633052192239,0.14941802307798974,351.16496119188486,-4142.1043772591665,-2046.677648172716,33.554249643658586,27.82536978331287,-7.382349585995453,-0.8885849857881478,29.05024488369223,0.7977644555733954,0.14941061717454968,349.5024110266255,-4175.142153694707,-2039.3290047629584,31.8725535816614,28.22193783775693,-6.715096959369474,-1.5318045928045432,28.932705734926948,0.7977657427553201,0.149403199899764,352.8209999850351,-4208.233264119734,-2031.1103538408145,35.17206106410955,28.334999998647753,-5.780000018311827,-0.9060000048685554,29.651195106078898,29.58744867345191,Human,ACC,ACC
62066.20000000001,28.806884594016857,0.7977631895740821,0.14941864971294366,351.0990670537163,-4139.308894492783,-2047.4159737719888,33.48992978581512,27.805534435937872,-7.4648886791806515,-0.9819835804735324,29.05066618752025,0.7977643484940923,0.14941125101606684,349.38252898243934,-4172.314452452572,-2040.0127975760504,31.75429962160211,28.20119450135923,-6.813472600897735,-1.4867500637476574,28.94794407349808,0.7977656518549376,0.14940383343944888,352.7268218526792,-4205.4068622760915,-2031.691133593335,35.07955855281943,28.326144108147787,-5.892702573680802,-0.9429116739931296,29.631639299577376,29.613685699823947,Human,ACC,ACC
62066.29999999999,28.81265501535034,0.7977630725022123,0.1494192758322441,351.0293893829443,-4136.515715454412,-2048.163381513335,33.42182067829247,27.785431868976346,-7.549733439386298,-1.0678903887007185,29.05886372729187,0.7977642400268309,0.14941188465812208,349.2669999818342,-4169.487649408748,-2040.705429124188,31.640393963377523,28.187999998616466,-6.909000015116347,-1.4559999967168875,28.96281363366827,0.7977655595418088,0.1494044669480493,352.63088475771804,-4202.580603587055,-2032.2809085060333,34.98529281221241,28.31671472875797,-6.0026946801163525,-0.9878750558875928,29.61087365052405,29.63944306689817,Human,ACC,ACC
62066.4,28.817787042734913,0.7977629537191705,0.14941990095537505,350.9539999872805,-4133.726984068087,-2048.921680844165,33.34799215858193,27.764999996675787,-7.6360000139763295,-1.1230000051502649,29.076272865634326,0.79776413045878,0.14941251813324125,349.1572953134676,-4166.66159915646,-2041.4050711345649,31.532308573886212,28.183746061197557,-7.001057067417501,-1.4461333456905383,28.977351746278714,0.7977654657295141,0.14940510028953358,352.53413672890474,-4199.755095981245,-2032.8802288371585,34.89021129444321,28.307213294632287,-6.109135508550537,-1.0329826029135278,29.587478542919694,29.664856503000788,Human,ACC,ACC
62066.5,28.82113923843584,0.797762833030355,0.14942052478009646,350.87195877913115,-4130.944049080539,-2049.692109892921,33.26750286683961,27.744071456003127,-7.723013809943267,-1.131204551318675,29.099773149055647,0.7977640197994986,0.14941315140564346,349.05253715641237,-4163.836460717183,-2042.1116623445505,31.429165547115602,28.185320333488693,-7.090732105797664,-1.451217843378139,28.991536809244213,0.7977653703316344,0.14940573332787005,352.437525794993,-4196.930947387287,-2033.4896448449595,34.79526145166651,28.298141239924746,-6.211184229915418,-1.0703267674325176,29.560613437396224,29.69018469380424,Human,ACC,ACC
62066.60000000001,28.822641533759505,0.7977627106005343,0.14942114771727225,350.7862780877728,-4128.165078530873,-2050.473621513257,33.18336665196774,27.722057775006657,-7.810937272389048,-1.1051862420402887,29.12515192967636,0.7977639079891434,0.1494137844224711,348.9512604126295,-4161.012469219429,-2042.8255832438447,31.32949950910945,28.18848443860005,-7.179541098697531,-1.4621934186849637,29.00530000062901,0.7977652732617501,0.1494063659270271,352.3419999847364,-4194.108765733806,-2034.1097067876865,34.70139073603704,28.28999999878933,-6.308000015143057,-1.0920000018061444,29.53200724095584,29.71571833874732,Human,ACC,ACC
62066.70000000001,28.82256047811614,0.7977625866843191,0.14942177035604245,350.7009583462207,-4125.387445281656,-2051.2645972404066,33.09958616457677,27.698265204555913,-7.900142105841754,-1.0648248120024235,29.14822434030871,0.797763794967871,0.14941441713086662,348.8519999840795,-4158.189859791698,-2043.5472143221493,31.23184508591157,28.18899999964181,-7.2690000145577995,-1.4700000005162852,29.01852298154335,0.7977651744779486,0.1494069979962021,352.2483486963603,-4191.2889568508035,-2034.7406815659208,34.609388192432014,28.283084555751138,-6.399084788345151,-1.0924824548525622,29.504017698309823,29.74162401350695,Human,ACC,ACC
62066.79999999999,28.821113180802463,0.7977624615363206,0.1494223932855469,350.61999998749087,-4122.608522195464,-2052.063418609604,33.020164055277185,27.67199999552043,-7.991000014829459,-1.029999995892398,29.16587079805263,0.7977636806662786,0.14941504948648254,348.7536685935483,-4155.368829877148,-2044.2769970926395,31.1351147291533,28.183709745316037,-7.360145848798712,-1.4679160346858602,29.03097767486995,0.7977650741163449,0.14940762962550866,352.1567268062863,-4188.471118174192,-2035.3817026501183,34.51940923692519,28.276864097218994,-6.48531148568875,-1.0758050565964397,29.47892858422703,29.76763568263092,Human,ACC,ACC
